study_id,bibtex_key,authors,authors_year,title,doi,venue,crop_or_domain,observation_regime,modality,identity_mechanism,class_attribute_family,evaluation_context,unique_instance_gt,metrics_reported,dedup_handled,evidence_status,assumptions_required,violated_conditions,evidence_pages,key_finding,limitations,retrieval_source,fulltext_path,review_order
R-3e45c6dc2566f46b,ledger_r_3e45c6dc2566f46b,"Husin, Husna Sarirah (60763685800); Amar, Nurnasuha (57238665800); Bakar Sajak, Aznida Abu (56029277200); Sallehin Mohd Kassim, Mohd (57219127469)","Husin, Husna Sarirah (60763685800); Amar, Nurnasuha (57238665800); Bakar Sajak, Aznida Abu (56029277200); Sallehin Mohd Kassim, Mohd (57219127469) (2021)",Distribution map of oil palm fresh fruit bunch using LiDAR*,10.1109/icics52457.2021.9464575,"2021 12th International Conference on Information and Communication Systems, ICICS 2021",oil palm FFB,single-view,LiDAR_intensity_point_cloud_and_latitude_longitude,M4,maturity,"Three overripe, six ripe, and five under-ripe dataset plots are discussed; mean-intensity ranges and threshold table are reported, but no classification accuracy or held-out test metric is provided",n,"Three overripe, six ripe, and five under-ripe dataset plots are discussed; mean-intensity ranges and threshold table are reported, but no classification accuracy or held-out test metric is provided",no,direct,"A2,A4",,article pages 1-9; sections III-V; Table I,"The study links a class attribute to a spatially localized FFB record, showing a possible inventory record structure, but spatial mapping alone is not evidence that repeated observations of the same FFB have been deduplicated.","Variable LiDAR resolution can return intensity from non-FFB surfaces; sample collection was insufficient for a high-accuracy system and was not performed at the target plantation field because of COVID-19; no cross-view association, persistent identity, or accuracy metric.",https://www.researchgate.net/publication/350467276_Distribution_map_of_oil_palm_fresh_fruit_bunch_using_LiDAR,,19
R-01acdcce61f29700,lai2022yolov4palm,"Lai, Jin Wern (57887765800); Ramli, Hafiz Rashidi (57189290778); Ismail, Luthffi Idzhar (55232596700); Hasan, Wan Zuha Wan (57219410727)","Lai, Jin Wern (57887765800); Ramli, Hafiz Rashidi (57189290778); Ismail, Luthffi Idzhar (55232596700); Hasan, Wan Zuha Wan (57219410727) (2022)",Real-Time Detection of Ripe Oil Palm Fresh Fruit Bunch Based on YOLOv4,10.1109/access.2022.3204762,IEEE Access,oil palm FFB,single-view,RGB_depth_camera_RealSense_D435,M0,maturity,"49 sampled trees; 240 positive and 250 negative images; 20-tree field test; mAP 87.9%, recall 82%, F1 88%, mean IoU 70.19%, and approximately 21 FPS",n,"49 sampled trees; 240 positive and 250 negative images; 20-tree field test; mAP 87.9%, recall 82%, F1 88%, mean IoU 70.19%, and approximately 21 FPS",no,direct,A1,,author version pp. 1-5; sections II-IV; Tables 1-6,"Per-instance FFB detection can attach a ripeness class to a live tree observation and trigger a harvesting action, but the study does not establish whether the same FFB seen in multiple frames is counted once.","Only ripe versus unripe detection; no overripe class, fruit count, persistent ID, cross-view association, or duplicate-rejection metric; field test used 20 similar-age trees under a sunny morning condition and manual labels.",https://www.researchgate.net/publication/363329145_Real-Time_Detection_of_Ripe_Oil_Palm_Fresh_Fruit_Bunch_based_on_YOLOv4,,21
R-19d96439ecdda18d,ledger_r_19d96439ecdda18d,"Mansour, Mohamed Yasser Mohamed Ahmed (57971643900); Dambul, Katrina D. (23008328200); Choo, Kan Yeep (7102083264)","Mansour, Mohamed Yasser Mohamed Ahmed (57971643900); Dambul, Katrina D. (23008328200); Choo, Kan Yeep (7102083264) (2022)",Object Detection Algorithms for Ripeness Classification of Oil Palm Fresh Fruit Bunch,10.14716/ijtech.v13i6.5932,International Journal of Technology,oil palm FFB,single-view,RGB_ground_FFB_images,M0,maturity,304 balanced images; 70/20/10 train-validation-test split; YOLOv5m mAPval 0.842 at IoU 0.5:0.95; MobileNetV2 SSD 0.478; EfficientDet-lite0/1/2 0.743/0.803/0.812; YOLOv5n/s 0.781/0.832,n,304 balanced images; 70/20/10 train-validation-test split; YOLOv5m mAPval 0.842 at IoU 0.5:0.95; MobileNetV2 SSD 0.478; EfficientDet-lite0/1/2 0.743/0.803/0.812; YOLOv5n/s 0.781/0.832,no,direct,A1,,"pp. 1326-1335; sections 3.1, 4, 5; Table 2","This is direct oil-palm evidence that a per-instance detector can attach a broader maturity class set than binary ripe versus unripe, but it remains an intra-view classification result rather than duplicate-free inventory.","All images were ground FFBs after harvest due COVID-19 access restrictions, not on-tree observations; dataset is small and balanced at 304 images; no multi-view identity, persistent fruit ID, counting, or duplicate-rejection evaluation; authors identify on-tree and diverse-field imagery as future work.",https://ijtech.eng.ui.ac.id/download/article/5932,literature/search/fulltext/00022_r-19d96439ecdda18d_object-detection-algorithms-for-ripeness-classification-of-oil-palm-fresh-fruit-bunch.pdf,22
R-1a70fa2aeed54ea3,ledger_r_1a70fa2aeed54ea3,Meili Sun; Liancheng Xu; Rong Luo; Yuqi Lu,Meili Sun; Liancheng Xu; Rong Luo; Yuqi Lu (2022),GHFormer-Net: Towards more accurate small green apple/begonia fruit detection in the nighttime,10.1016/j.jksuci.2022.05.005,Journal of King Saud University - Computer and Information Sciences,apple,single-view,RGB_nighttime_images_LED_and_smartphone_Canon,M0,maturity,"NightFruit: 1960 augmented images, 1371 train and 589 test, 7713 and 3396 fruits, AP 85.2 percent, APs 67.5 percent, AP50 97.8 percent; Gala: 1361 images, 953 train and 408 test, 4943 and 2194 fruits, AP 61.0 percent, APs 45.2 percent; corruption robustness reported across fog, elastic, brightness, noise, frost, and motion blur.",y,"NightFruit: 1960 augmented images, 1371 train and 589 test, 7713 and 3396 fruits, AP 85.2 percent, APs 67.5 percent, AP50 97.8 percent; Gala: 1361 images, 953 train and 408 test, 4943 and 2194 fruits, AP 61.0 percent, APs 45.2 percent; corruption robustness reported across fog, elastic, brightness, noise, frost, and motion blur.",no,direct,A1,"P1,P3,P5","pp.4421-4432; sections 2,4.2,4.5,4.7,5,6","Nighttime small-green-fruit detection can provide useful per-image fruit observations under occlusion and variable weather, but detector outputs alone do not solve temporal tracking, cross-view identity, or unique inventory counting.","Random image splits do not prove scene or tree-disjoint generalization; no temporal tracking, re-identification, or cross-view deduplication; performance degrades under brightness, motion blur, and heavy occlusion; Gala AP remains modest.",https://link.springer.com/article/10.1016/j.jksuci.2022.05.005,,23
R-2828a3937318ca86,ledger_r_2828a3937318ca86,"Lu, Jianqiang (57221134621); Yang, Ruifan (57222336672); Yu, Chaoran (56456929800); Lin, Jiahan (57216373714); Chen, Wadi (57387878100); Wu, Haiwei (57474162600); Chen, Xin (56081186700); Lan, Yubin (7102083954); Wang, Weixing (56052048000)","Lu, Jianqiang (57221134621); Yang, Ruifan (57222336672); Yu, Chaoran (56456929800); Lin, Jiahan (57216373714); Chen, Wadi (57387878100); Wu, Haiwei (57474162600); Chen, Xin (56081186700); Lan, Yubin (7102083954); Wang, Weixing (56052048000) (2022)",Citrus green fruit detection via improved feature network extraction,10.3389/fpls.2022.946154,Frontiers in Plant Science,citrus,single-view,RGB_handheld_and_cloud_camera,M0,none,"557 original images, 3273 annotated fruit instances, visible targets with more than 70 percent occlusion ignored, reported 6:2:2 train validation test split after augmentation; improved Mask-RCNN plus ResNet50 AP50 95.36 percent, AP75 93.45 percent, PR area 0.9673, field inference about 0.939 to 0.969 seconds on AGX Xavier. The article reports inconsistent augmented/test image counts in different sections, which is retained as a limitation.",y,"557 original images, 3273 annotated fruit instances, visible targets with more than 70 percent occlusion ignored, reported 6:2:2 train validation test split after augmentation; improved Mask-RCNN plus ResNet50 AP50 95.36 percent, AP75 93.45 percent, PR area 0.9673, field inference about 0.939 to 0.969 seconds on AGX Xavier. The article reports inconsistent augmented/test image counts in different sections, which is retained as a limitation.",no,direct,A1,P5,"pp.1-5,10-16; sections 2.1-2.6, 3, 4, 5, 6; Tables 1-3","CB-Net feature fusion improves per-image citrus green-fruit instance segmentation in complex green backgrounds and supports orchard thinning decisions, but the study remains an intra-view detector and does not produce unique cross-view fruit inventories.","No temporal tracking, re-identification, or cross-view deduplication; random image split does not establish tree-disjoint or orchard-disjoint generalization; heavily occluded fruit is ignored during annotation; overlap remains a stated failure mode; only sugar tangerine and one green-fruit target class are evaluated; reported augmented dataset counts are internally inconsistent.",https://www.frontiersin.org/articles/10.3389/fpls.2022.946154/pdf,literature/search/fulltext/00025_r-2828a3937318ca86_citrus-green-fruit-detection-via-improved-feature-network-extraction.pdf,25
R-3f230a23a2a956c8,ledger_r_3f230a23a2a956c8,"Wan Nurazwin Syazwani, R. (57225991820); Muhammad Asraf, H. (50461667000); Megat Syahirul Amin, M.A. (55387509700); Nur Dalila, K.A. (57194560816)","Wan Nurazwin Syazwani, R. (57225991820); Muhammad Asraf, H. (50461667000); Megat Syahirul Amin, M.A. (55387509700); Nur Dalila, K.A. (57194560816) (2022)","Automated image identification, detection and fruit counting of top-view pineapple crown using machine learning",10.1016/j.aej.2021.06.053,Alexandria Engineering Journal,apple,aerial,UAV_top_view_RGB,M0,maturity,"DJI Phantom 3 Advanced, 1300 frames from 110 rows over 1.44 acres, 20 manually annotated sample images, 180 pineapple and 180 background instances, 90 fruit and 90 noise used for train and test, six classifier families and ANN training variants; best ANN-GDX with ANOVA reported 94.4 percent accuracy and 87 of 90 pineapple crowns correctly counted.",n,"DJI Phantom 3 Advanced, 1300 frames from 110 rows over 1.44 acres, 20 manually annotated sample images, 180 pineapple and 180 background instances, 90 fruit and 90 noise used for train and test, six classifier families and ANN training variants; best ANN-GDX with ANOVA reported 94.4 percent accuracy and 87 of 90 pineapple crowns correctly counted.",no,direct,A1,P5,"pp.1265-1276; sections 2.1-2.8, 3, 4; Figs.1-9","Top-view UAV RGB processing can identify and count pineapple crowns using engineered colour, shape, and texture features, providing a transferable agricultural example of per-object detection followed by plot-level counting.","No temporal tracking, re-identification, or cross-view deduplication; the evaluation uses only 20 sampled images and 180 fruit instances from one plantation division; train-test separation at instance level does not establish scene or row-disjoint generalization; crown detection is a proxy for fruit and no fruit maturity attribute is modeled.",https://www.researchgate.net/publication/352975153_Automated_image_identification_detection_and_fruit_counting_of_top-view_pineapple_crown_using_machine_learning; official record https://www.sciencedirect.com/science/article/pii/S111001682100418X,,26
R-4b3d8d423dbd5d0e,ledger_r_4b3d8d423dbd5d0e,"Yang, Lu (59046495400); Liu, Hongbang (57222485303); Liu, Lingqiao (54956172800); Zhou, Jinghao (57215966275); Zhang, Lei (56042339600); Wang, Peng (57309244300); Zhang, Yanning (56075029000)","Yang, Lu (59046495400); Liu, Hongbang (57222485303); Liu, Lingqiao (54956172800); Zhou, Jinghao (57215966275); Zhang, Lei (56042339600); Wang, Peng (57309244300); Zhang, Yanning (56075029000) (2022)",Pluggable Weakly-Supervised Cross-View Learning for Accurate Vehicle Re-Identification,10.1145/3512527.3531357,ICMR 2022 - Proceedings of the 2022 International Conference on Multimedia Retrieval,non-agricultural transfer domain,multi-camera-rig,RGB_multi_camera_vehicle_images,M2,none,"VeRi-776, VehicleID, VRIC, and VRAI benchmarks with CMC and mAP; baseline plus WCVL gains include VehicleID small mAP 86.8 to 90.3 percent, medium 83.6 to 87.1 percent, large 81.0 to 84.6 percent, VRIC CMC1 74.3 to 76.2 percent, and VRAI mAP 74.4 to 80.1 percent.",y,"VeRi-776, VehicleID, VRIC, and VRAI benchmarks with CMC and mAP; baseline plus WCVL gains include VehicleID small mAP 86.8 to 90.3 percent, medium 83.6 to 87.1 percent, large 81.0 to 84.6 percent, VRIC CMC1 74.3 to 76.2 percent, and VRAI mAP 74.4 to 80.1 percent.",n-a,transferable,A5,P1,pp.1-9; sections I-VI; Tables I-VIII,"Weakly supervised cross-view embeddings can reduce viewpoint-induced appearance variation using identity labels only, offering a transferable mechanism for associating repeated observations when viewpoint labels are unavailable.","The benchmark concerns vehicles rather than agricultural objects; it assumes identity labels during training; failures remain under extreme brightness and near-identical appearance; it does not address fruit occlusion, tree structure, changing object appearance, or agriculture-specific instance inventory.",https://arxiv.org/pdf/2103.05376,literature/search/fulltext/00027_r-4b3d8d423dbd5d0e_pluggable-weakly-supervised-cross-view-learning-for-accurate-vehicle-re-identification.pdf,27
R-c79d61a639a09929,ledger_r_c79d61a639a09929,"Zhang, Chenglong (57209818829); Mouton, Christiaan (57802840200); Valente, João (42062501000); Kooistra, Lammert (6603894270); van Ooteghem, Rachel (46661328500); de Hoog, Dirk (57803080300); van Dalfsen, Pieter (57802962400); Frans de Jong, Peter (57802840300)","Zhang, Chenglong (57209818829); Mouton, Christiaan (57802840200); Valente, João (42062501000); Kooistra, Lammert (6603894270); van Ooteghem, Rachel (46661328500); de Hoog, Dirk (57803080300); van Dalfsen, Pieter (57802962400); Frans de Jong, Peter (57802840300) (2022)",Automatic flower cluster estimation in apple orchards using aerial and ground based point clouds,10.1016/j.biosystemseng.2022.05.004,Biosystems Engineering,apple,aerial,UAV_and_ground_vehicle_RGB_SfM_point_clouds_GPS,M4,maturity,"Dutch Elstar orchard with 14 rows and 100 trees in the monitored row; manual ground truth for 31 random trees; segmentation validation on 107 trees and 186 observation volumes; combined Model-MB and Model-T report R2 around 0.70 and relative RMSE below 20 percent, with strongest subvolume correlations up to R2 0.78.",n,"Dutch Elstar orchard with 14 rows and 100 trees in the monitored row; manual ground truth for 31 random trees; segmentation validation on 107 trees and 186 observation volumes; combined Model-MB and Model-T report R2 around 0.70 and relative RMSE below 20 percent, with strongest subvolume correlations up to R2 0.78.",no,direct,"A2,A4",P1,"pp.164-180; sections 2.1-2.8, 3, 4, 5; Tables 1-9","Combining complementary UAV and ground RGB views with 3D point clouds improves coverage of tree subvolumes and supports tree-level flower-cluster estimation, illustrating the geometric route toward multi-view inventory aggregation.",Small ground-truth sample and high biological variability; UAV point-cloud density falls toward lower tree sections; occlusion and sky-cloud confusion affect segmentation; no persistent cross-view identity or cluster-level deduplication; estimates flower intensity and clusters rather than a unique fruit inventory or maturity classes.,https://edepot.wur.nl/574776,literature/search/fulltext/00028_r-c79d61a639a09929_automatic-flower-cluster-estimation-in-apple-orchards-using-aerial-and-ground-based-point-.pdf,28
R-ee550a3e3a6fb318,ledger_r_ee550a3e3a6fb318,"Zhang, Wenli (56440513600); Wang, Jiaqi (57216679181); Liu, Yuxin (55571689000); Chen, Kaizhen (57218294376); Li, Huibin (57190163050); Duan, Yulin (55349009200); Wu, Wenbin (55707483300); Shi, Yun (55349546900); Guo, Wei (54414194300)","Zhang, Wenli (56440513600); Wang, Jiaqi (57216679181); Liu, Yuxin (55571689000); Chen, Kaizhen (57218294376); Li, Huibin (57190163050); Duan, Yulin (55349009200); Wu, Wenbin (55707483300); Shi, Yun (55349546900); Guo, Wei (54414194300) (2022)",Deep-learning-based in-field citrus fruit detection and tracking,10.1093/hr/uhac003,Horticulture Research,citrus,video-continuous,RGB_video_field_rover_DJI_Osmo_Action,M3,maturity,"Field rover at 2 m/s with 60 fps 1920x1080 video; 1465 cropped detection samples with 7:3 train-test split and 182 standard test images; OrangeYolo AP 0.938 and standard-image AP 0.957; six video sequences from two fields and 22 trees; OrangeSort region strategy MAE 0.081 and SD 0.08, compared with Sort MAE 0.45 and DeepSort MAE 1.212.",y,"Field rover at 2 m/s with 60 fps 1920x1080 video; 1465 cropped detection samples with 7:3 train-test split and 182 standard test images; OrangeYolo AP 0.938 and standard-image AP 0.957; six video sequences from two fields and 22 trees; OrangeSort region strategy MAE 0.081 and SD 0.08, compared with Sort MAE 0.45 and DeepSort MAE 1.212.",explicit,direct,A3,"P1,P2","pp.1-14; sections Method, Experiment, Comparative analysis, Conclusion; Tables 1-5 and Figs.1-13","Temporal tracking with a deliberate counting region and motion displacement estimation substantially reduces double counting in orchard video, providing direct evidence for the temporal component of unique fruit inventory construction.","Tracking IDs are local to each video sequence rather than a persistent identity across sessions or trees; unseen canopy and fruit remain unobserved; performance degrades under poor lighting, overexposure, camera shake, and severe occlusion; no 3D spatial coordinates or maturity class; future work explicitly proposes 3D localization and unseen-fruit correction.",https://pmc.ncbi.nlm.nih.gov/articles/PMC9113225/; PDF mirror https://pdfs.semanticscholar.org/20dd/782dec13f834b646961872c025c7c2c83ce1.pdf,literature/search/fulltext/00029_r-ee550a3e3a6fb318_deep-learning-based-in-field-citrus-fruit-detection-and-tracking.pdf,29
R-eef08bb78d5f0317,chen2022ffbdet,"Chen, Zhiyuan (57191247513); Elsaid, Salma (57909397300); Sim, Doreen Ying Ying (37063714400); Maul, Tomas (24779754500); Liao, Iman Yi (23060943300)","Chen, Zhiyuan (57191247513); Elsaid, Salma (57909397300); Sim, Doreen Ying Ying (37063714400); Maul, Tomas (24779754500); Liao, Iman Yi (23060943300) (2022)",Detection of Oil Palm Fresh Fruit Bunches (FFBS) with Computer Vision Models,10.1109/cmaee58250.2022.00023,"Proceedings - 2022 International Conference on Mechanical, Automation and Electrical Engineering, CMAEE 2022",oil palm FFB,single-view,RGB_still_images_online_dataset_sources,M0,maturity,"Approximately 200 collected images with 169 suitable FFB images; deep-learning split 117 train, 32 validation, 20 test; YOLOv4 mAP 98.5 percent, precision 84 percent, recall 94 percent, F1 0.89, 31.8 ms; YOLOv5 mAP 96.4 percent, precision and recall 90.9 percent, F1 0.90, 11.4 ms.",n,"Approximately 200 collected images with 169 suitable FFB images; deep-learning split 117 train, 32 validation, 20 test; YOLOv4 mAP 98.5 percent, precision 84 percent, recall 94 percent, F1 0.89, 31.8 ms; YOLOv5 mAP 96.4 percent, precision and recall 90.9 percent, F1 0.90, 11.4 ms.",no,direct,A1,,pp.86-90; sections II-IV; Tables I-IV; Fig.2,"Comparative object detectors can localize multiple oil-palm FFBs in an image, with a speed-accuracy tradeoff between YOLOv4 and YOLOv5, but the study only establishes per-image detection.","Images were sourced from Kaggle and Google rather than an actual plantation because of travel restrictions; small dataset and random image split; no field-disjoint evaluation, temporal tracking, cross-view identity, or deduplication; no maturity classes; authors identify real-plantation validation as future work.",https://www.researchgate.net/publication/372232043_Detection_of_Oil_Palm_Fresh_Fruit_Bunches_FFBS_with_Computer_Vision_Models,,30
R-1c81e223679e4bfe,ledger_r_1c81e223679e4bfe,"Phimpisan, Phaireepinas (57028530900); Chungchoo, Chatchapol (6507883140)","Phimpisan, Phaireepinas (57028530900); Chungchoo, Chatchapol (6507883140) (2023)",Real-Time oil palm ripeness classification of fresh fruit bunches using fluorescence technology,10.34044/j.anres.2023.57.5.12,Agriculture and Natural Resources,oil palm FFB,single-view,RGB_fluorescence_images_UV_LED_395_to_400_nm,M0,maturity,"100 individual FFB samples, 20 under-ripe and 80 ripe; five expert graders; 600 fruit samples with six fruits sampled per bunch; solvent-extraction CPO validation; reported 100 percent classification agreement and 2-5 second image capture.",n,"100 individual FFB samples, 20 under-ripe and 80 ripe; five expert graders; 600 fruit samples with six fruits sampled per bunch; solvent-extraction CPO validation; reported 100 percent classification agreement and 2-5 second image capture.",no,direct,A1,,"pp.859-868; sections Materials and Methods, Results and Discussion, Conclusion; Tables 1-4; Figs.2-6","Fluorescence imaging can classify the ripeness attribute of an individual oil-palm FFB rapidly and non-destructively, adding a sensor modality for the attribute layer of a class-wise inventory.","Small and imbalanced sample with only two ripeness classes; controlled dark chamber or sorting-equipment setup; no field multi-view acquisition, detection of multiple bunches, temporal tracking, cross-view identity, or deduplication; the reported 100 percent result is not an external held-out field benchmark.",https://kasetsartjournal.ku.ac.th/downloadFile.aspx?param=bWVkaWFJRD04ODgx,literature/search/fulltext/00031_r-1c81e223679e4bfe_real-time-oil-palm-ripeness-classification-of-fresh-fruit-bunches-using-fluorescence-techn.pdf,31
R-2d972b94554c6cd1,ledger_r_2d972b94554c6cd1,"Gené-Mola, Jordi (57208647898); Felip-Pomés, Marc (58916714200); Net-Barnés, Francesc (58636386500); Morros, Josep-Ramon (35587745500); Miranda, Juan C. (57947116100); Arnó, Jaume (22978662800); Asín, Luís (6508223638); Lordan, Jaume (56303682600); Ruiz-Hidalgo, Javier (34969474900); Gregorio, Eduard (15834312900)","Gené-Mola, Jordi (57208647898); Felip-Pomés, Marc (58916714200); Net-Barnés, Francesc (58636386500); Morros, Josep-Ramon (35587745500); Miranda, Juan C. (57947116100); Arnó, Jaume (22978662800); Asín, Luís (6508223638); Lordan, Jaume (56303682600); Ruiz-Hidalgo, Javier (34969474900); Gregorio, Eduard (15834312900) (2023)",Video-Based Fruit Detection and Tracking for Apple Counting and Mapping,10.1109/metroagrifor58484.2023.10424135,"2023 IEEE International Workshop on Metrology for Agriculture and Forestry, MetroAgriFor 2023 - Proceedings",apple,video-continuous,Kinect_Azure_RGB_D_or_RGB_video_plus_GNSS,M3,maturity,"420 trees in four rows, 84 five-meter stretches, two scanning dates, east and west sides, 1087 annotated frames; YOLOv5x F1 0.834 and mAP 0.871; ByteTrack MOTA 0.6817, IDF1 0.8369, HOTA 0.6894, 15.4 ms per image; yield mapping MAPE 8.45 percent and R2 0.66 at four weeks, MAPE 7.47 percent and R2 0.70 at one week.",n,"420 trees in four rows, 84 five-meter stretches, two scanning dates, east and west sides, 1087 annotated frames; YOLOv5x F1 0.834 and mAP 0.871; ByteTrack MOTA 0.6817, IDF1 0.8369, HOTA 0.6894, 15.4 ms per image; yield mapping MAPE 8.45 percent and R2 0.66 at four weeks, MAPE 7.47 percent and R2 0.70 at one week.",explicit,direct,A3,,pp.1-5; sections I-IV; Tables I-II; Figs.1-4,"Continuous motion video with MOT reduces duplicate counting across adjacent frames and supports stretch-level yield mapping, while appearance ReID did not improve tracking for visually similar apples.",Track IDs are local to each scan and not persistent across separate dates or trees; ground truth is missing for several stretches; two-side counts are summed and calibrated rather than explicitly fused by 3D geometry; appearance-based ReID is weak for similar apples; no maturity/class attribute and no class-wise unique inventory.,https://upcommons.upc.edu/bitstream/2117/407100/1/Gene%20_Mola%20et%20al.pdf,literature/search/fulltext/00033_r-2d972b94554c6cd1_video-based-fruit-detection-and-tracking-for-apple-counting-and-mapping.pdf,33
R-673ecfa1664481fe,shiddiq2023palmcount,"Shiddiq, Minarni (8725594300); Arief, Dodi Sofyan (57208466987); Defrianto (54896326100); Dasta, Vicky Vernando (57216279266); Panjaitan, Deborah Margaretha (58306972700); Saputra, Doni (57213519278)","Shiddiq, Minarni (8725594300); Arief, Dodi Sofyan (57208466987); Defrianto (54896326100); Dasta, Vicky Vernando (57216279266); Panjaitan, Deborah Margaretha (58306972700); Saputra, Doni (57213519278) (2023)",COUNTING OF OIL PALM FRESH FRUIT BUNCHES USING COMPUTER VISION,10.21894/jopr.2022.0029,Journal of Oil Palm Research,oil palm FFB,video-continuous,RGB_video_conveyor,M3,maturity,"117 Tenera FFB, 10 videos, RGB 640x480 at 20 FPS, HSV saturation thresholding, contour area threshold above 9000, centroid association threshold below 50 pixels; per-video accuracy 50.00 to 100.00 percent, mean accuracy 79.35 percent, with recall, precision, and F-score reported.",n,"117 Tenera FFB, 10 videos, RGB 640x480 at 20 FPS, HSV saturation thresholding, contour area threshold above 9000, centroid association threshold below 50 pixels; per-video accuracy 50.00 to 100.00 percent, mean accuracy 79.35 percent, with recall, precision, and F-score reported.",no,direct,A3,P2,pp.111-120; Abstract; Materials and Methods; Figs.1-6; Tables 1-2; Conclusion,"A low-cost RGB conveyor system can detect, track, and count moving oil palm FFB in real time, but performance is sensitive to illumination, visible FFB surface and orientation, adjacent bunches, and camera or conveyor timing.","The experiment is a controlled postharvest conveyor setup rather than an in-canopy orchard view; one RGB camera and colour thresholding are sensitive to lighting and FFB orientation; track IDs are local to each video; there is no cross-view or cross-session identity, no tree-level unique inventory, and ripeness is explicitly excluded from evaluation.",http://jopr.mpob.gov.my/wp-content/uploads/2022/05/jopr2023v351-minarni.pdf,literature/search/fulltext/00034_r-673ecfa1664481fe_counting-of-oil-palm-fresh-fruit-bunches-using-computer-vision.pdf,34
R-700d34dae0f20d78,ledger_r_700d34dae0f20d78,"Rapado-Rincón, David (58346952700); van Henten, Eldert J. (6602318643); Kootstra, Gert (24537424000)","Rapado-Rincón, David (58346952700); van Henten, Eldert J. (6602318643); Kootstra, Gert (24537424000) (2023)",Development and evaluation of automated localisation and reconstruction of all fruits on tomato plants in a greenhouse based on multi-view perception and 3D multi-object tracking,10.1016/j.biosystemseng.2023.06.003,Biosystems Engineering,tomato,video-continuous,RGB_plus_LiDAR_structured_point_cloud_multi_view_robot_arm,M3/M4,maturity,"Mask R-CNN training and evaluation uses 1180 images; world-model evaluation uses 700 images from 100 viewpoints of seven plants, 10 height levels, 960x540 colour images and structured point clouds; detection precision and recall are reported at IoU 0.5, along with MPE, MAPE, HOTA, DetA, and AssA; world-model update rate reaches 10 Hz; HOTA up to 71.47 percent and full-sequence MAPE 12.21 percent in the selected configuration.",y,"Mask R-CNN training and evaluation uses 1180 images; world-model evaluation uses 700 images from 100 viewpoints of seven plants, 10 height levels, 960x540 colour images and structured point clouds; detection precision and recall are reported at IoU 0.5, along with MPE, MAPE, HOTA, DetA, and AssA; world-model update rate reaches 10 Hz; HOTA up to 71.47 percent and full-sequence MAPE 12.21 percent in the selected configuration.",explicit,direct,"A3,A2,A4",,pp.78-91; Abstract; Sections 2.2-2.5; Table 1; Table 3; Figs.2-8; Discussion; Conclusions,"Multi-view perception lets later viewpoints recover tomatoes missed under occlusion, while 3D position association maintains an object-centric representation. The paper demonstrates that total count error alone can hide ID switches, false positives, and false negatives, so tracking metrics such as HOTA, DetA, and AssA are needed for a unique inventory representation.","The evaluation covers seven greenhouse plants and a fixed semi-cylindrical viewpoint path rather than a broader orchard or field setting. Point-cloud noise and partial observations cause rejected detections and invalid sphere fits, especially in upper and occluded plant regions. Track IDs are evaluated within plant sequences, not as persistent identities across separate plants, dates, or sessions. The experiment uses one tomato class and does not evaluate maturity or class-wise inventory attributes.",https://edepot.wur.nl/636521,literature/search/fulltext/00035_r-700d34dae0f20d78_development-and-evaluation-of-automated-localisation-and-reconstruction-of-all-fruits-on-t.pdf,35
