record_id,doi,title,year,source_databases,query_ids,title_screen_decision,title_screen_exclusion_code,title_screen_confidence,title_screen_basis,abstract_screen_status,abstract_screen_priority
R-d266009d6a5a2a38,10.1016/j.jid.2020.03.056,054 Highly Multiplexed Immunophenotyping of Dermatomyositis Skin Lesions,2020,OpenAlex,Q4,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
M-71d452b4aac69bc1,10.5281/zenodo.6525900,"1-km forest tree height, cover, plant area index, and foliage height diversity for the CONUS",2022,OpenAlex,Q3,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-9d03b52c8e6e0334,10.15662/ijeetr.2026.0802388,"1. S. Mustofa et al., “A Comprehensive Review on Plant Leaf Disease Detection using Deep Learning,” arXiv preprint, 2023. 2. H. Rehana et al., “Plant Disease Detection using Region-Based Convolutional Neural Network,” arXiv preprint, 2023. 3. Y. Zhang et",2026,OpenAlex,Q4;Q5,advance_to_abstract,,high,title contains domain and visual/mechanism terms; retain for abstract screening,pending,high_relevance_signal
R-a11206608ef30d55,10.21474/ijar01/22256,10.21474/IJAR01/22256,2025,OpenAlex,Q6,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-344d05051084d7fe,10.1016/j.jid.2022.09.112,102 A deep learning system enables a prompt and objective scoring of Nail Psoriasis Severity Index,2022,OpenAlex,Q4,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-1f8a57e82bbbd5ed,10.1109/igarss55030.2025.11243171,10M RESOLUTION OF INDONESIA AND MALAYSIA OIL PALM PLANTATION MAP: SENTINEL-2 BASED APPROACH,2025,Scopus,Q6,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-f664872a280184ce,,"10th International Conference on Biomass and Bioenergy: Sustainable Solution for A Greener Future: Harnessing Biomass and Bioenergy, ICBB 2025",2026,Scopus,Q6,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-0d4696dfdbb4c6cd,,"10th International Conference on Brain Inspired Cognitive Systems, BICS 2019",2020,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-bba9dba748dd8569,,"10th International Conference on Communications, Signal Processing, and Systems, CSPS 2021",2022,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-5eb1b1ba6311925b,,"10th International Conference on Interactive Collaborative Robotics, ICR 2025",2026,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-e9520768fb64b021,,"10th International Conference on Microelectronics, Electromagnetics and Telecommunication, ICMEET 2025",2026,Scopus,Q4,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-72a07a7ecb616fc8,,"10th International Symposium on Artificial Intelligence and Robotics, ISAIR 2025",2026,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-5422dd4125e1e3dd,,"11th Iberian Conference on Pattern Recognition and Image Analysis, IbPRIA 2023",2023,Scopus,Q2,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-e6cd23689215eb56,,"11th IFAC Symposium on Intelligent Autonomous Vehicles, IAV 2022 - Proceedings",2022,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-c0595ba03bb67aff,,"11th IFIP WG 5.14 International Conference on Computer and Computing Technologies in Agriculture, CCTA 2017",2019,Scopus,Q3,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-34feb7b630e085e1,,11th IGRSM International Conference and Exhibition on Geospatial and Remote Sensing 2022,2022,Scopus,Q6,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-f17f8bfc1d37de4c,,"11th International Conference on Advanced Computational Intelligence, ICACI 2019",2019,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-c8ffa825d8f59348,,"11th International Conference on Energy Minimization Methods in Computer Vision and Pattern Recognition, EMMVCPR 2017",2018,Scopus,Q2,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-184ec2027358a03f,,"11th International Conference on Pattern Recognition and Machine Intelligence, PReMI 2025",2026,Scopus,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-3c0849c0d0616040,10.5281/zenodo.4028592,123MovieS::::'|HD|;::::: Watch A Fantastic Woman (2020) Online Full Or Free xkr,2020,OpenAlex,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-2866798e9429d8fc,10.5281/zenodo.4028536,123MovieS::::'|HD|;::::: Watch Fifty shades of Grey (2020) Online Full Or Free xkr,2020,OpenAlex,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-bcd5b117a5053d8d,10.5281/zenodo.4466424,123MovieZ!![HDQ]-WaTcH Count (2021) Online Full For Free at Putlockers ygz,2021,OpenAlex,Q1,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-bb4036fedc83b0ec,,"12th Asian Conference on Computer Vision, ACCV 2014",2015,Scopus,Q3,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-ace0de1fda07ee33,,12th IGRSM International Conference and Exhibition on Geospatial and Remote Sensing,2024,Scopus,Q3;Q6,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-6311269d0e1b813a,,"12th International Conference on Information Technology and Quantitative Management, ITQM 2025",2025,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-2b0b7730997a3059,,"12th International Conference on Knowledge Science, Engineering and Management, KSEM 2019",2019,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-790d9aebe4034e37,,"12th International Conference on Social Computing and Social Media, SCSM 2020, held as part of the 22nd International Conference on Human-Computer Interaction, HCII 2020",2020,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-907726e577f9e7b9,,"12th Mexican Conference on Pattern Recognition, MCPR 2020",2020,Scopus,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-93ec0498fda1f3d4,,"13th International Conference on Augmented Cognition, AC 2019, held as part of the 21st International Conference on Human-Computer Interaction, HCI International 2019",2019,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-703ccbcebc5fa7c9,,"13th International Conference on Cloud Computing, CLOUD 2020, held as part of the Services Conference Federation, SCF 2020",2020,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-20066d2340dab570,,"13th International Conference on Computer Vision Systems, ICVS 2021",2021,Scopus,Q1;Q4;Q7,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-3ec76ca2c41020b4,,"13th International Symposium on Business Modeling and Software Design, BMSD 2023",2023,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-3bc5b2aff8399f47,,"13th International Symposium on Information and Communication Technology, SOICT 2024",2025,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-e0932f0e17d03ceb,,"13th Location-Based Services Conference, LBS 2016",2017,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-1b4fd41f3a830042,,"13th Mexican Conference on Pattern Recognition, MCPR 2021",2021,Scopus,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-d760bc02a5f51cda,10.1038/srep37399,"14,000-year-old seeds indicate the Levantine origin of the lost progenitor of faba bean",2016,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-e0bd13832a3e99db,,"14th Asian Conference on Computer Vision, ACCV 2018",2019,Scopus,Q2,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-c307a4d50156f005,,"14th European Conference on Computer Vision,  ECCV 2016",2016,Scopus,Q2,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-4c755275ed711cc8,,"14th International Conference on Computing and Pattern Recognition, ICCPR 2025",2026,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-c65874823875c6de,,"14th International Conference on Information Society and Technology, ICIST 2024",2024,Scopus,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-8c369b7390a4b9f7,,"14th International Symposium on Visual Computing, ISVC 2019",2019,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-766bc868570eb67d,,"14th Pacific Asia Workshop on Intelligence and Security Informatics, PAISI 2019, Workshop on Weakly Supervised Learning: Progress and Future, WeL 2019, Workshop on Learning Data Representation for Clustering, LDRC 2019, 8th Workshop on Biologically Inspired Techniques for Knowledge Discovery and Data Mining, BDM 2019, 1st Pacific Asia Workshop on Deep Learning for Knowledge Transfer, DLKT 2019 held in conjunction with the 23rd Pacific-Asia Conference on Knowledge Discovery and Data Mining, PAKDD 2019",2019,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-1a9142100b2fbe56,10.3920/978-90-8686-916-9_15,15. Strawberry flower and fruit detection using deep learning for developing yield prediction models,2021,OpenAlex,Q1;Q7,advance_to_abstract,,high,title contains domain and visual/mechanism terms; retain for abstract screening,pending,high_relevance_signal
R-3705df623358e78d,,"15th EAI International Conference on Communications and Networking, ChinaCom 2020",2021,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-4bc88337d3f79636,,"15th IEEE International Conference on Anti-Counterfeiting, Security, and Identification, ASID 2021",2021,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-7be128c64136d24c,,"15th International Conference on Algorithms and Architectures for Parallel Processing, ICA3PP 2015",2015,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-cca7826c802b552c,,"15th International Conference on e-Infrastructure and e-Services for Developing Countries, AFRICOMM 2023",2025,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-16b711530b1b2f30,,"15th International Conference on Intelligent Computing, ICIC 2019",2019,Scopus,Q7,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-de3bbc8808b4ca7e,,"15th International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery, ICNC-FSKD 2019, co-located with the 5th International Conference on Harmony Search, Soft Computing and Applications, ICHSA 2019",2019,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-a75bcd9735327a59,,"15th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications, VISIGRAPP 2020",2022,Scopus,Q3,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-83863f95ef2a2530,,"16th Mexican Conference on Pattern Recognition, MCPR 2024",2024,Scopus,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-6a65a6289f6b9940,,"16th Web Information Systems and Applications Conference, WISA 2019",2019,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-f7ea9853f30c8153,,"17th Chinese Conference on Image and Graphics Technologies and Applications, IGTA 2022",2022,Scopus,Q3,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-cae0e5a5b2857b3b,,"17th Colombian Conference on Computing, CCC 2023",2024,Scopus,Q1;Q7,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-b17e315fdf55afdf,,"17th International Conference on Agents and Artificial Intelligence, ICAART 2025",2025,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-327cbf452a9263bc,,"17th International Conference on Combinatorial Optimization and Applications, COCOA 2024",2025,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-6969fc329b7d18f9,,"17th International Conference on Computing and Information Technology, IC2IT 2021",2021,Scopus,Q4,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-42bd7b39ba8aea6c,,"17th International Conference on Dependability of Computer Systems, DepCoS-RELCOMEX 2022",2022,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-76d795a780f5ea3b,,"17th International Conference on Intelligent Autonomous Systems, IAS-17",2023,Scopus,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-9ff83fcdef3ba879,,"17th International Symposium on Neural Networks, ISNN 2020",2020,Scopus,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-56371acbdaa9f59a,,"17th Pacific-Rim Conference on Multimedia, PCM 2016",2016,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-7672e6d40ef9a52d,,"18th IFIP WG 12.5 International Conference on Artificial Intelligence Applications and Innovations, AIAI 2022",2022,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-cba023de7fc0fe37,,"18th International Conference on Advanced Concepts for Intelligent Vision Systems, ACIVS 2017",2017,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-8245b95a75e101fb,,"18th International Conference on Informatics in Control, Automation and Robotics, ICINCO 2021",2023,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-48ab416d7fa2df2f,,"18th International Conference on Intelligent Computing, ICIC 2022",2022,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-0394d8ac468a2414,,"19th EPIA Conference on Artificial Intelligence, EPIA 2019",2019,Scopus,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-81ea053f9233e693,,"19th International Conference on Computational Science, ICCS 2019",2019,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-47257cc443b97662,,"19th International Conference on Informatics in Control, Automation and Robotics, ICINCO 2022",2022,Scopus,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-d4783d06ebd3f27d,,"19th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications, VISIGRAPP 2024",2024,Scopus,Q2,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-728bbb3c2e97597b,,"19th International Symposium on Bioinformatics Research and Applications, ISBRA 2023",2023,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-ab4944497ed2a738,,"19th International Symposium on Neural Networks, ISNN 2025",2026,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-9504f727a6eedfdc,,"19th Pacific-Rim Conference on Multimedia, PCM 2018",2018,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-38e5582a6a188e98,,"1st Chinese Conference on Computer Vision, CCCV 2015",2015,Scopus,Q2,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-4ab88502b66309d0,,"1st EAI International Conference on Artificial Intelligence for Communications and Networks, AICON 2019",2019,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-7df80c7ecf90439e,,"1st EAI International Conference on Intelligent Systems with Applications in Communications, Computing and IoT, ICISCCI 2024",2026,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-68a488de13e9acf3,,"1st International Conference on Advances in Smart Computing and Applications, ICASCA 2025",2026,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-422249543874c6ed,,"1st International Conference on Agriculture-Centric Computation, ICA 2023",2023,Scopus,Q4,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-3ec12d9af7bb82d9,,"1st International Conference on Artificial Intelligence and Data Science, ICAIDS 2021",2022,Scopus,Q7,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-6fdf3a8385bf10af,,"1st International Conference on Artificial Intelligence Towards Smart Sustainable Society, AISSS 2023",2024,Scopus,Q4,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-bd004dcdebba8dfc,,"1st International Conference on Computational Intelligence and Informatics, ICCII 2016",2017,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-97d3620c54320b77,,"1st International Conference on Intelligent Systems in Computing and Communications, ISCComm 2023",2025,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-435a0702b891f499,,"1st International Conference on on Computational Intelligence in Engineering Science, ICCIES 2025",2026,Scopus,Q4,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-f48c067824a21d3e,,"1st International Conference on Pattern Analysis and Machine Intelligence, ICPAMI 2024",2025,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-8e3f7953942fd487,,"1st International Conference on Smart and Sustainable Agriculture, SSA 2021",2021,Scopus,Q6,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-4cc59bc42ab10c82,,"1st International Graduate Conference on Smart Agriculture and Green Renewable Energy, SAGE-Grace 2024",2024,Scopus,Q6,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-9cd03790a4258c24,,"1st International Symposium on Geometry and Vision, ISGV 2021",2021,Scopus,Q4,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-b6e355e48c3ba645,,"1st International Symposium on Systems Modelling and Simulation, SMS 2024",2025,Scopus,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-e9e24d19064a9e4b,10.48550/arxiv.2012.13498,1st Place Solution to VisDA-2020: Bias Elimination for Domain Adaptive Pedestrian Re-identification,2020,OpenAlex,Q2,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-03ce65296ebcf13e,,1st Vegetable Oil International Conference 2023 on Socio-Economic and Ecological Approaches,2024,Scopus,Q3;Q6,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
