review_order,record_id,doi,title,year,venue,authors,source_databases,query_ids,openalex_ids,scopus_eids,scopus_links,abstract_available,abstract_screen_confidence,abstract_screen_basis,mechanism_evidence,review_status,retrieval_status,retrieval_source,fulltext_path,extraction_status,document_type,ic1,ic2,ic3,ic4,ic5,ec2,ec3,ec4,decision,exclusion_code,evidence_pages,evidence_quote,reviewer,review_date,review_notes,updated_at,evidence_type,study_design,modality,task_scope,identity_mechanism,class_attribute,evaluation,key_finding,limitations
4624,R-853e5612b13f5658,10.3389/fpls.2019.01321,Deep Learning-Based Phenotyping System With Glocal Description of Plant Anomalies and Symptoms,2019,Frontiers in Plant Science,"Fuentes, Alvaro (57194569998); Yoon, Sook (35779575000); Park, Dong Sun (7403245797)",Scopus;OpenAlex,Q4,W2983849081,2-s2.0-85076059242,https://www.scopus.com/pages/publications/85076059242?origin=resultslist,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: led information about their symptoms and interactions with the scene, by combining visual object recognition and language generation. It uses an image as input and generates a diagnosis result that shows the location of anomalies and sentences describing the",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4625,R-86d75fa3c7377dcc,10.14309/01.ajg.0000591068.35597.2b,384 High Accuracy and Effectiveness With Deep Neural Networks and Artificial Intelligence in Detection of Early Esophageal Neoplasia in Barrett's Esophagus,2019,The American Journal of Gastroenterology,Rintaro Hashimoto; Nabil El Hage Chehade; Kenneth J. Chang; Tyler Dao,OpenAlex,Q4,W2979675289,,,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: nique of the training set was used for algorithm validation. We additionally developed an object detection algorithm which drew localization boxes in real-time around regions classified as dysplasia. Testing was performed for near-focus images, non-near fo",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4626,R-86fd23b9ded0ff41,10.25959/100.00034651,Mapping species composition and structure in wet eucalypt forest using multi-source remote sensing data,2019,Open Access Repository (University of Tasmania),Bkv Yadav,OpenAlex,Q3,W3086629494,,,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: ssify up to five dominant tree species of the forest. I used random forest classifiers on objects generated using data segmentation under a range of scenarios. Fused CHM and Minimum Noise Fraction (MNF) datasets yielded the highest segmentation accuracy (88.71%). The fusion of hyp",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4627,R-87cf501f0844a4d6,10.3390/f10100931,Leaf abundance affects tree height estimation derived from UAV images,2019,Forests,"Huang, Hongyu (57199060381); He, Shaodong (57211538860); Chen, Chongcheng (11940377800)",Scopus;OpenAlex,Q3,W2981608986,2-s2.0-85074374394,https://www.scopus.com/pages/publications/85074374394?origin=resultslist,yes,medium,retain because of mechanism signal: operation on a named target; full-text review required,"operation on a named target: ff conditions or the early season, when leaves were absent or sparse, it was difficult to reconstruct the 3D canopy structure fully from the UAV images, thus resulting in the underestimation of tree height; the accuracy improved considerably when there were more le",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4628,R-87e57790e400373c,10.3920/978-90-8686-888-9_22,Assessment of vineyard trimming and leaf removal using UAV photogrammetry,2019,"Precision Agriculture 2019 - Papers Presented at the 12th European Conference on Precision Agriculture, ECPA 2019","Torres-Sánchez, J. (55614963700); Marín, D. (57204724506); De Castro, A.I. (57194778957); Oria, I. (57215287398); Jiménez-Brenes, F.M. (57194772328); Miranda, C. (8595162500); Santesteban, L.G. (8595162300); López-Granados, F. (55879881000)",Scopus;OpenAlex,Q3,W2959825334,2-s2.0-85073730306,https://www.scopus.com/pages/publications/85073730306?origin=resultslist,yes,medium,retain because of mechanism signal: operation on a named target; full-text review required,"operation on a named target: . The OBIA algorithm developed was fully automatic. Results showed the feasibility of the detection of the trimming and leaf removal treatments, and the possibility of discriminating among different treatment intensities. Furthermore, the detected projected area of vineyard",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4629,R-88b71951f68f9b20,10.3390/rs11151791,A density-based approach for leaf area index assessment in a complex forest environment using a Terrestrial Laser Scanner,2019,Remote Sensing,"Kargar, Ali Rouzbeh (57210356017); MacKenzie, Richard (7201869486); Asner, Gregory P. (7005140378); van Aardt, Jan (15623611400)",Scopus;OpenAlex,Q3,W2966456140,2-s2.0-85070461139,https://www.scopus.com/pages/publications/85070461139?origin=resultslist,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: meter. The first step after cleaning the point cloud involved detecting the higher forest canopy in the light detection and ranging (lidar) point clouds, using normal change rate assessment. We then estimated Leaf Area Density (LAD), using a voxel-based approach, and d",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4630,R-8955e6c954e738ae,10.32604/mcb.2019.07101,Multifrequency Microwave Imaging for Brain Stroke Detection,2019,Molecular & cellular biomechanics,Lulu Wang,OpenAlex,Q4,W2981728586,,,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,object or instance perception: authors previously developed a holographic microwave imaging (HMI) method for dielectric object detection with a particular focus on brain stroke [7]. This paper investigates the feasibility of multifrequency HMI for brain stroke detection. A numerical sy,pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4631,R-8a81b8680387d7e3,10.3390/rs11010092,Optimizing the remote detection of tropical rainforest structure with airborne lidar: Leaf area profile sensitivity to pulse density and spatial sampling,2019,Remote Sensing,"de Almeida, Danilo Roberti Alves (57195568724); Stark, Scott C. (7103102036); Shao, Gang (56425175400); Schietti, Juliana (35345799100); Nelson, Bruce Walker (7402428134); Silva, Carlos Alberto (60603541600); Gorgens, Eric Bastos (23097945900); Valbuena, Ruben (36157395800); Papa, Daniel de Almeida (56458049400); Brancalion, Pedro Henrique Santin (21740850700)",Scopus;OpenAlex,Q3,W2909674845,2-s2.0-85059935833,https://www.scopus.com/pages/publications/85059935833?origin=resultslist,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,broad visual target-operation evidence: Optimizing the remote detection of tropical rainforest structure with airborne lidar: Leaf area profile sensitivity to pulse density and spatial sampling. Airborne Laser Scanning (ALS) has been considered as a primary source to model the st,pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4632,R-8b0e7ea9142f4f00,10.1109/lgrs.2019.2895321,Estimating Leaf Angle Distribution from Smartphone Photographs,2019,IEEE Geoscience and Remote Sensing Letters,"Qi, Jianbo (56709162900); Xie, Donghui (7202588306); Li, Linyuan (56716961500); Zhang, Wuming (55576725800); Mu, Xihan (8271769900); Yan, Guangjian (7202089880)",Scopus;OpenAlex,Q3,W2916389396,2-s2.0-85061970439,https://www.scopus.com/pages/publications/85061970439?origin=resultslist,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: cture from motion (SfM) point cloud and pyramid convolutional neural network (PCNN)-based leaf detection. This SfM-PCNN method first detects individual leaves from 2-D photographs by delineating leaf boundaries, while minimizing the influences of interio",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4633,R-8c6f36b9e9178314,10.1109/ictis.2019.8883683,Automated traffic volume analytics at road intersections using computer vision techniques,2019,ICTIS 2019 - 5th International Conference on Transportation Information and Safety,"Qi, Bozhao (57055008600); Zhao, Wei (59040475700); Zhang, Haiping (57211750431); Jin, Zhihong (7403625763); Wang, Xiaohan (57205131125); Runge, Troy (54909059300)",Scopus;OpenAlex,Q2,W2982296372,2-s2.0-85074955764,https://www.scopus.com/pages/publications/85074955764?origin=resultslist,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: ide detailed traffic analysis results. To achieve these goals, we develop a deep learning object detection model based on Single Shot MultiBox Detector (SSD). Our approach is able to detect and track vehicles, pedestrians, traffic signs and other related-o",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4634,R-8c85e207d624ed01,10.3390/rs11091067,Effect of leaf occlusion on leaf area index inversion of maize using UAV-LiDAR data,2019,Remote Sensing,"Lei, Lei (57208752205); Qiu, Chunxia (57195331246); Li, Zhenhai (55809810800); Han, Dong (57201116552); Han, Liang (57204395409); Zhu, Yaohui (57212262451); Wu, Jintao (57188570943); Xu, Bo (56660147500); Feng, Haikuan (37005424600); Yang, Hao (56957326900); Yang, Guijun (55501651300)",Scopus;OpenAlex,Q3,W2944745972,2-s2.0-85065739660,https://www.scopus.com/pages/publications/85065739660?origin=resultslist,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,"broad visual target-operation evidence: arch. Light detection and ranging (LiDAR) is an active remote sensing technology that can detect the vertical distribution of a crop canopy. To quantitatively analyze the influence of the occlusion effect, three flights of multi-route high-density LiDAR dataset were acquired at two",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4635,R-8ca9708104dfb2f0,10.1007/s11120-019-00642-9,Canopy chlorophyll fluorescence applied to stress detection using an easy-to-build micro-lidar,2019,Photosynthesis Research,"Moya, Ismael (7003638379); Loayza, Hildo (47061731200); López, Maria Llanos (57199997511); Quiroz, Roberto (7003695017); Ounis, Abderrahmane (6507207464); Goulas, Yves (6602518673)",Scopus;OpenAlex,Q3,W2945638184,2-s2.0-85067656123,https://www.scopus.com/pages/publications/85067656123?origin=resultslist,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,"broad visual target-operation evidence: response to a 5-μs width pulse is separated from the ambient light through a synchronized detection. Both the reflectance and the fluorescence of the target are acquired simultaneously in exactly the same field of view, as well as the photosynthetic active radiation and air temperature. The footprint is a",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4636,R-8deb1b0d1a95269c,10.1109/cvpr.2019.00018,Learning loss for active learning,2019,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,"Yoo, Donggeun (55617347200); Kweon, In So (7003450602)",Scopus;OpenAlex,Q4,W2944173897,2-s2.0-85078281614,https://www.scopus.com/pages/publications/85078281614?origin=resultslist,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: gardless of target tasks. We rigorously validate our method through image classification, object detection, and human pose estimation, with the recent network architectures. The results demonstrate that our method consistently outperforms the previous meth",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4637,R-9007f305b61e9585,10.18462/iir.icr.2019.1096,X-ray CT-based CFD study to investigate the cooling process of packed pear fruit,2019,Refrigeration Science and Technology,"Gruyters, Willem (57188981135); Wang, Zi (57196351801); Verboven, Pieter (7006763024); Nicolaï, Bart (57206184455)",Scopus;OpenAlex,Q4,W3026602606,2-s2.0-85082681065,https://www.scopus.com/pages/publications/85082681065?origin=resultslist,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,"broad visual target-operation evidence: forced-air cooling experiments with the different packings were conducted. After CT image reconstruction, CFD simulations with the realistic pear stacking were performed. Experiments agreed well with simulation results. Cooling time of individual pears differed up to 4 hours and large differenc",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4638,R-909b6d413b0094f8,10.1299/jsmermd.2019.1a1-e03,Robust Landmark Detection in Vineyards Using Laser Range Sensor,2019,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),Abhijeet Ravankar; Ankit A. Ravankar; Yohei HOSHINO; Yukinori Kobayashi,OpenAlex,Q3,W2998163521,,,yes,medium,retain because of mechanism signal: operation on a named target; full-text review required,operation on a named target: s in a vineyard field. The algorithm only uses data from laser range sensor to accurately detect pillars supporting the grape plants in the presence of noise. Robust detection of these landmarks is important for the autonomous task execution by a robot in vineyards. The dete,pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4639,R-994e3a5fa5a812ea,10.1016/j.rse.2019.111264,The potential of dual-wavelength terrestrial lidar in early detection of Ips typographus (L.) infestation – Leaf water content as a proxy,2019,Remote Sensing of Environment,"Junttila, S. (56938630100); Holopainen, M. (6701569174); Vastaranta, M. (26535318100); Lyytikäinen-Saarenmaa, P. (6602484195); Kaartinen, H. (8545284000); Hyyppä, J. (7004260140); Hyyppä, H. (6602238915)",Scopus;OpenAlex,Q3,W2954436801,2-s2.0-85067885635,https://www.scopus.com/pages/publications/85067885635?origin=resultslist,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,broad visual target-operation evidence: The potential of dual-wavelength terrestrial lidar in early detection of Ips typographus (L.) infestation - Leaf water content as a proxy. Climate change is causing novel forest stress around the world due to changes in environmental conditions. Forest pest inse,pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4640,R-9b0a5469926d8b69,10.3390/f10030277,Influence of scan density on the estimation of single-tree attributes by hand-held mobile laser scanning,2019,Forests,"Perugia, Barbara Del (57208130639); Giannetti, Francesca (57190371050); Chirici, Gherardo (55893742300); Travaglini, Davide (23669021500)",Scopus;OpenAlex,Q3,W2924891244,2-s2.0-85063900218,https://www.scopus.com/pages/publications/85063900218?origin=resultslist,yes,medium,retain because of mechanism signal: operation on a named target; full-text review required,"operation on a named target: ion traditionally collected with forest instruments, such as hypsometers and callipers to detect single-tree attributes like tree height and diameter at the breast height. The present study has tested the performances of the ZEB1 instrument, a type of hand-held mobile laser scan",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4641,R-9e50d15926d4b1b7,10.3390/rs11202433,Assessing legacy effects of wildfires on the crown structure of fire-tolerant eucalypt trees using airborne LiDAR data,2019,Remote Sensing,"Karna, Yogendra K. (55789746800); Penman, Trent D. (57196043693); Aponte, Cristina (35106655700); Bennett, Lauren T. (7203009410)",Scopus;OpenAlex,Q3,W2979876355,2-s2.0-85074205149,https://www.scopus.com/pages/publications/85074205149?origin=resultslist,yes,medium,retain because of mechanism signal: individual-target evidence; full-text review required,"individual-target evidence: effects on tree growth and on forest structure. In this study, we quantitatively assessed individual tree crowns 8.5 years after a 2009 wildfire that burnt extensive areas of eucalypt forest in temperate Australia. We used airborne LiDAR data validated wi",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4642,R-9ef7cdab2440f04c,10.5194/isprs-archives-xlii-2-w13-1097-2019,Evaluating the possibility of tree species classification with dual-wavelength,2019,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","Pilarska, M. (57200753834); Ostrowski, W. (56538129500)",Scopus;OpenAlex,Q3,W2981343249,2-s2.0-85067471166,https://www.scopus.com/pages/publications/85067471166?origin=resultslist,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: than one band. The aim of this experiment was to examine and assess the possibilities of tree segmentation and species classification in an urban area. In this experiment, point clouds registered in two wavelengths (532 and 1064 nm) were used for tree segm",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4643,R-a213d62f99da6f31,10.35940/ijitee.a4193.119119,Simple screening method of maize disease using machine learning,2019,International Journal of Innovative Technology and Exploring Engineering,"Entuni, Chyntia Jaby Ak (57211856440); Zulcaffle, Tengku Mohd Afendi (36816758700)",Scopus;OpenAlex,Q4,W3020059845,2-s2.0-85075170451,https://www.scopus.com/pages/publications/85075170451?origin=resultslist,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: ease severity in maize. Fuzzy C-Means is a new algorithm and very efficient to be used in object detection. Therefore, it is applicable to detect disease spot in plant leaf and measure the diseases severity. This field screening method help the farmer to i",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4644,R-a4477614318c5d7f,10.3389/fpls.2019.01472,High-Throughput System for the Early Quantification of Major Architectural Traits in Olive Breeding Trials Using UAV Images and OBIA Techniques,2019,Frontiers in Plant Science,"de Castro, Ana I. (57194778957); Rallo, Pilar (12785953600); Suárez, María Paz (24832509500); Torres-Sánchez, Jorge (55614963700); Casanova, Laura (26533762400); Jiménez-Brenes, Francisco M. (57194772328); Morales-Sillero, Ana (23393093100); Jiménez, María Rocío (46761259600); López-Granados, Francisca (55879881000)",Scopus;OpenAlex,Q3,W2981645966,2-s2.0-85076676024,https://www.scopus.com/pages/publications/85076676024?origin=resultslist,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,"broad visual target-operation evidence: e second flight campaign, i.e. 27 months after planting. Differences in the quality of 3D crown reconstruction were found for the growth patterns derived from each training system. These key phenotyping traits could be used in several olive breeding programs,",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4645,R-a452ee412bcb9d76,10.1109/icasid.2019.8925094,Insulator Faults Detection Based on Deep Learning,2019,"Proceedings of the International Conference on Anti-Counterfeiting, Security and Identification, ASID","Adou, Mohamed Witti (57213158201); Xu, Huarong (55493841200); Chen, Guanhua (57555486500)",Scopus;OpenAlex,Q4,W2995806698,2-s2.0-85077564583,https://www.scopus.com/pages/publications/85077564583?origin=resultslist,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: is paper we propose a new method which can detect bunch-drop of insulators. We propose an object detection algorithm (YOLO, you only look once) in order to perform insulator localization and its bunch-drop detection. YOLO is the stat-of-the-art object dete",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4646,R-a71ca8ea443a833a,10.1088/1757-899x/639/1/012039,Feasibility of a photoelectric sensor technique for nondestructive prediction of granulation disorder in tangerines,2019,IOP Conference Series: Materials Science and Engineering,"Teerachaichayut, S. (15844096200); Kijpadung, T. (57212137482); Cheevathumrat, V. (57212133370)",Scopus;OpenAlex,Q4,W2982463492,2-s2.0-85075986366,https://www.scopus.com/pages/publications/85075986366?origin=resultslist,yes,medium,retain because of mechanism signal: individual-target evidence; full-text review required,"individual-target evidence: A nondestructive technique, which is simple and low cost, that could determine whether an individual fruit suffered from granulation would be of help to the citrus industry. The intensity signal of photoelectric sensor, when light passed through tangerines",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4647,R-a80e10241f356f16,10.1080/10106049.2017.1377775,Modelling forest canopy gaps using LiDAR-derived variables,2019,Geocarto International,"Lombard, Leighton (57196050413); Ismail, Riyad (23011840000); Poona, Nitesh (55576513000)",Scopus;OpenAlex,Q3,W2755062494,2-s2.0-85031409597,https://www.scopus.com/pages/publications/85031409597?origin=resultslist,yes,medium,retain because of mechanism signal: operation on a named target; full-text review required,"operation on a named target: CHM and intensity raster, and an OBIA approach, provides a viable framework to accurately detect and delineate canopy gaps within a commercial forest environment.",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4648,R-aa086439990af525,10.21273/hortsci13795-18,Physical and chemical attributes of pomegranate (Punica granatum L.) cultivars grown in humid conditions in Georgia,2019,HortScience,"Díaz-Pérez, Juan C. (7007007057); MacLean, Dan (8162349900); Goreta, Smiljana (57204797470); Workman, Sarah (57200514503); Smith, Erick (57194612548); Sidhu, Harwinder Singh (57212834350); Gunawan, Gunawati (24779402600); Bateman, Anthony (54886031800); Bautista, Jesús (55918132600); Lovett, William (57210560636); Špika, Maja Jukić (56136982500); Dumičić, Gvozden (8306334300); Radunić, Mira (35485542000)",Scopus;OpenAlex,Q4,W2961623185,2-s2.0-85070902095,https://www.scopus.com/pages/publications/85070902095?origin=resultslist,yes,medium,retain because of mechanism signal: individual-target evidence; full-text review required,individual-target evidence: grown in Georgia. Pomegranate fruit from 40 cultivars were harvested during 2012 to 2017. Individual fruit weight varied from 124 g for ‘Utah Sweet’ to 631 g for ‘C1’. The total fruit weight percentage accounted for by fresh aril weight (aril fraction) ran,pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4649,R-aa0c04405a8fc534,10.3390/f10111047,Deep learning approaches for the mapping of tree species diversity in a tropical wetland using airborne LiDAR and high-spatial-resolution remote sensing images,2019,Forests,"Sun, Ying (56939016200); Huang, Jianfeng (56768280700); Ao, Zurui (55511761800); Lao, Dazhao (57215032685); Xin, Qinchuan (54421662600)",Scopus;OpenAlex,Q3,W2991201922,2-s2.0-85079808782,https://www.scopus.com/pages/publications/85079808782?origin=resultslist,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: 1038; and R2Pielou = 0.5875, RMSEPielou = 0.3053). While challenges remain for individual tree detection and species classification, the deep-learning-based solution shows potential for mapping tree species diversity.",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4650,R-ad6b34c340346636,10.1117/12.2532778,Precision arboriculture: A new approach to tree risk management based on geomatics tools,2019,Proceedings of SPIE - The International Society for Optical Engineering,"De Petris, S. (57207692943); Berretti, R. (14830023200); Sarvia, F. (57567446900); Borgogno-Mondino, E. (57202105878)",Scopus;OpenAlex,Q3,W2981652431,2-s2.0-85078083143,https://www.scopus.com/pages/publications/85078083143?origin=resultslist,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,broad visual target-operation evidence: using a DTM (Digital Terrain Model) available from the regional cartographic archive. An object-based approach (watershed segmentation) aimed at bordering tree crowns as vector polygons was run. Some tree stability parameters were obtained from CHM by zonal statistics for each crown,pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4651,R-ae0c0d50d061cf6c,10.1117/12.2530653,Optical system design and integration of the Global Ecosystem Dynamics Investigation Lidar,2019,Proceedings of SPIE - The International Society for Optical Engineering,"Wake, Shane (56423477000); Ramos-Izquierdo, Luis A. (14519721500); Eegholm, Bente (56034496500); Dogoda, Peter (6506315324); Denny, Zachary (56692909300); Hersh, Michael (7005937733); Mulloney, Michael (57211837346); Thomes, W. Joe (6507827260); Ott, Melanie N. (35249257800); Jakeman, Hali (36637566700); Poulios, Demetrios (56007389700); Mule, Peter (6603015148); De Leon, Erich (10139116900); Blair, J. Bryan (7203040200)",Scopus;OpenAlex,Q3,W2972420170,2-s2.0-85075110440,https://www.scopus.com/pages/publications/85075110440?origin=resultslist,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,"broad visual target-operation evidence: tional Space Station (ISS) on December 5, 2018. GEDI is a multibeam waveform LiDAR (light detection and ranging) designed to measure the Earth’s global tree height and canopy density using 8 laser beam ground tracks separated by roughly 600 meters. Given the ground coverage required and the 2 year mission",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4652,R-b1613c12e4d2f88b,10.35940/ijrte.b1047.0982s1019,Detection of tree crown from satellite imagery using object based image examination,2019,International Journal of Recent Technology and Engineering,"Kadu, Sujata R. (57205205380); Hogade, Balaji G. (36052925500); Rizvi, Imdad (36053655700)",Scopus;OpenAlex,Q3,W4233688961,2-s2.0-85073560315,https://www.scopus.com/pages/publications/85073560315?origin=resultslist,yes,medium,retain because of mechanism signal: operation on a named target; full-text review required,operation on a named target: Detection of tree crown from satellite imagery using object based image examination. Detection and delineation of individual tree mainly depends on high resolution satellite,pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4653,R-b198814d053cc45b,10.3390/rs11070856,Potential of forest parameter estimation using metrics from photon counting LiDAR data in Howland Research Forest,2019,Remote Sensing,"Chen, Bowei (56789262700); Pang, Yong (48662599000); Li, Zengyuan (8719489000); North, Peter (7006430057); Rosette, Jacqueline (23767612400); Sun, Guoqing (7402760338); Suárez, Juan (7202040286); Bye, Iain (55880553900); Lu, Hao (56654564800)",Scopus;OpenAlex,Q3,W2937010920,2-s2.0-85069814990,https://www.scopus.com/pages/publications/85069814990?origin=resultslist,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,"broad visual target-operation evidence: luding photon counting LiDAR data from SIMPL (the Slope Imaging Multi-polarization Photon-counting LiDAR), airborne small footprint LiDAR data from G-LiHT and a stem map in Howland Research Forest, USA. First, we propose a noise filtering method based on a local outlier factor (LOF) with elliptical search area to",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4654,R-b24525c8bab32281,10.1080/01431161.2018.1513664,Delineation of individual deciduous trees in plantations with low-density LiDAR data,2019,International Journal of Remote Sensing,"Shao, Gang (56425175400); Shao, Guofan (7102142366); Fei, Songlin (12241183900)",Scopus;OpenAlex,Q3,W2891022368,2-s2.0-85053283298,https://www.scopus.com/pages/publications/85053283298?origin=resultslist,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: ous trees in plantations with low-density LiDAR data. Delineation of individual deciduous trees with Light Detection and Ranging (LiDAR) data has long been sought for accurate forest inventory in temperate forests. Previous attempts mainly focused on high-density Li",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4655,R-b3051d190c519c8b,10.1080/07038992.2019.1612738,"Ecologically-Based Metrics for Assessing Structure in Developing Area-Based, Enhanced Forest Inventories from LiDAR",2019,Canadian Journal of Remote Sensing,"Ayrey, Elias (57192119117); Hayes, Daniel J. (36788174700); Fraver, Shawn (57203056795); Kershaw, John A. (7006044814); Weiskittel, Aaron R. (13806825800)",Scopus;OpenAlex,Q3,W2947076729,2-s2.0-85066601047,https://www.scopus.com/pages/publications/85066601047?origin=resultslist,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,"broad visual target-operation evidence: of the EMs with more traditional metrics (e.g., height percentiles) for modeling biomass, tree count, and species. They then examined each model’s ability to transfer to different LiDAR datasets. They found that models based on the EMs performed simi",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4656,R-ba0ed3088eca11cb,10.3390/rs11232734,Prediction of competition indices in a Norway spruce and silver fir-dominated forest using lidar data,2019,Remote Sensing,"Versace, Soraya (57212384391); Gianelle, Damiano (24075870600); Frizzera, Lorenzo (24279230600); Tognetti, Roberto (7004400879); Garfì, Vittorio (36625277800); Dalponte, Michele (24075297800)",Scopus;OpenAlex,Q3,W2990059719,2-s2.0-85076527697,https://www.scopus.com/pages/publications/85076527697?origin=resultslist,yes,medium,retain because of mechanism signal: individual-target evidence; full-text review required,individual-target evidence: etrics to predict competition (on the basis of distance-dependent competition indices) of individual trees and to relate them with tree aboveground biomass (AGB). The selected study area was a mountain forest area located in the Italian Alps. The analyses,pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
4657,R-ba76fab2f0a81a82,10.1109/ictai.2019.00252,Focus Generator with Score Classification on Fabric Defect Detection,2019,,Yingjie Qin; Ming Chen; Lizhe Qi; Yunquan Sun,OpenAlex,Q4,W3005806596,,,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: e in the production of fabrics. Thanks to deep learning and large-scale datasets, popular object detection tasks have made great progress. RetinaNet has been widely used in object detection tasks in various fields, such as face detection, due to its flexib",pending,pending,,,,,,,,,,,,,pending,,,,,,,2026-08-09T18:56:21+00:00,,,,,,,,,
