record_id,doi,title,year,source_databases,query_ids,abstract_available,abstract_screen_decision,abstract_screen_exclusion_code,abstract_screen_confidence,abstract_screen_basis,mechanism_evidence,global_output_evidence,full_text_status
R-9244b6c6c618526c,10.21227/8bc9-av37,"""Handheld SLAM\u2013LiDAR Stem Modeling: A Benchmark and Robust Pipeline""",2026,OpenAlex,Q3,yes,advance_fulltext,,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: and geometric reconstruction pipelines. This benchmark is designed for research on robust stem segmentation, axis tracking, taper modeling, and inventory-grade metric estimation from handheld mobile LiDAR.""",,pending
R-2e792ceaed1dc110,10.21227/2194-m629,"""INDTomatoMSTD: A Multi-Scale Tomato Disease Dataset for Tiny and Large Lesion Detection Using Deep Transfer Learning""",2026,OpenAlex,Q4,yes,advance_fulltext,,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: ons on the surface or larger patterns of infection, which is especially useful to current objects detection models and deep transfer learning designs like YOLO, EfficientNet, and Vision Transformer based models.The purpose of INDTomatoMSTD is to be useful i",,pending
R-e6397d452b3a8eda,10.21227/6fx8-jh04,"""MangoVision Dataset: Annotated Images for Mango Detection and Automated Counting""",2026,OpenAlex,Q7,yes,advance_fulltext,,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: dentification. The dataset supports applications such as mango detection, fruit counting, object localization, and yield estimation using computer vision and deep learning techniques. The annotations are compatible with popular object detection frameworks suc","global production, yield, biomass, or land-use output: t supports applications such as mango detection, fruit counting, object localization, and yield estimation using computer vision and deep learning techniques. The annotations are compatible with popular object detection frameworks such as YOLO and can be a",pending
R-c3caaaf6ab73c8fc,10.21227/hq1q-jp43,"""SPVD-Field: A Multi-source, Multi-task Visual Dataset for Sweet Potato Virus Disease under Real Field Conditions""",2026,OpenAlex,Q4,yes,advance_fulltext,,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,"broad visual target-operation evidence: icly available datasets for SPVD are sparse and typically focus on a single task, such as disease classification or lesion segmentation, under controlled imaging conditions. This limits the development, evaluation, and fair comparison of advanced computer vision methods for SPVD analy",,pending
R-a8de7147f2f4e7b3,10.15228/anst.2023.v03.i03-4.p10,"""The Impact of Different Types of Soilless Media on Some Significant Biological Parameters of Cucumber (Cucumis sativus L.) """,2023,OpenAlex,Q4,yes,advance_fulltext,,medium,retain because of mechanism signal: individual-target evidence; full-text review required,"individual-target evidence: plant height, stem thickness, area of leaf area and number of leaves per plant, length of individual fruit, diameter of individual fruit, fruit firmness, number of fruit/plant, weight of individual fruit, yield, leaf chlorophyll contents, pH of fruit juice",,pending
R-b60592aca97d621e,,"""The Pleasures of Eating"": Alternative hedonism in Yeh Yilan and Li Ziqi",2024,Scopus,Q1,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-bdf15d2c0870829b,10.1117/12.2585950,"""where does that module live?"" the difficulty of extending SOSA into smaller, expendable applications",2021,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-1c86147a812d5100,10.1371/journal.pone.0351627,# Tracking the narrative: A data-driven analysis of media coverage of Russia and Ukraine 2013–2024,2026,Scopus,Q1,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-698449d0c6fec84e,10.1093/ndt/gfad063c_6891,#6891 MACHINE LEARNING NEPHROPATHOLOGY DIAGNOSTICS OF THROMBOTIC MICROANGIOPATHIES,2023,OpenAlex,Q4,yes,advance_fulltext,,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: ology stainings HE, PAS, trichrome and Jones were included in this study. We developed an instance segmentation Mask-RCNN model with a Swin Transformer (t) backbone on tissue crops detected using a lightweight variant of the U-Net segmentation architecture. For",,pending
R-fc0702cb95e458c1,10.13031/aim.201801193,&amp;lt;i&amp;gt;Multiple Object Tracking-by-Detection for Fruit Counting on an Apple Tree Canopy&amp;lt;/i&amp;gt;,2018,OpenAlex,Q1;Q7,yes,advance_fulltext,,medium,retain because of mechanism signal: object or instance perception; full-text review required,object or instance perception: &lt;i&gt;Multiple Object Tracking-by-Detection for Fruit Counting on an Apple Tree Canopy&lt;/i&gt;. Abstract. Accurate estimation of the number of fruit on apple trees is a potential,"global production, yield, biomass, or land-use output: etter manage their operations. In particular, the fruit count information can be used for harvest planning, sales forecasting, and optimization of crop load management. A method for counting fruit on apple trees using RGB video sequences was implemented using a deep learning",pending
R-6fc24a496e838311,10.2139/ssrn.5371210,&lt;b&gt;&lt;i&gt;DEVISE &lt;/i&gt;&lt;/b&gt;: Depth-Aware Vegetation Indexing System,2025,OpenAlex,Q3,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-8e362f98faf102b8,10.1956/jge.v22i3.929,"&lt;b&gt;IoT Machine Learning, and Cloud-Based Intelligent Soil Fertility Assessment: A Systematic Review&lt;/b&gt;",2026,OpenAlex,Q5,yes,exclude_abstract,EC1,high,"global production, yield, biomass, or land-use output; evidence: evels have attracted a substantial amount of literature. These research illustrate better prediction of soil health, better irrigation timing and better recommendations of fertilizers. Nonetheless, most systems suffer the challenges of high computational cost, smal",,"global production, yield, biomass, or land-use output: evels have attracted a substantial amount of literature. These research illustrate better prediction of soil health, better irrigation timing and better recommendations of fertilizers. Nonetheless, most systems suffer the challenges of high computational cost, smal",not_needed
R-072bb4601e8f8c1a,10.65372/jhe6g573,&lt;b&gt;Mapping Proportions of Eastern Redcedar in Kansas Using Sentinel-2 Imagery and Random Forest Model&lt;/b&gt;,2026,OpenAlex,Q3,yes,advance_fulltext,,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,broad visual target-operation evidence: as Field Station (2016-2023). A 1 m reference dataset was generated by intersecting light detection and ranging (LiDAR)-derived canopy-height stability with leaf-off aerial imagery and aggregated to the Sentinel-2 grid. Random forest models were trained on seasonal Sentinel-2 composites using proportion-aware,,pending
R-f1949d570da33c06,10.21063/jtif.2026.v14.1.24-46,&lt;b&gt;Threshold Based Vegetation Classification Using Sentinel-2 and GoogleEarth Engine in Siak-Riau&lt;/b&gt;,2026,OpenAlex,Q6,yes,advance_fulltext,,low,"no high-confidence EC1, EC5, or EC6 exclusion; full-text review required",,,pending
R-b1dd4cb2921a906f,10.52578/3134-8556-2026-2-450-459,&lt;b&gt;НЕКОТОРЫЕ АСПЕКТЫ ЭКОЛОГИИ БЕЛКИ ОБЫКНОВЕННОЙ (SCIURUS VULGARIS) В ЛЕСАХ РУДНОГО АЛТАЯ&lt;/b&gt;,2026,OpenAlex,Q1,yes,advance_fulltext,,medium,retain because of mechanism signal: operation on a named target; full-text review required,"operation on a named target: y of Ecology and Natural Resources of the Republic of Kazakhstan. The monitoring involved counting animals at survey sites using photo/video traps, live traps, optical devices and direct visual observation in squirrel habitats. To analyses the animal censu",,pending
R-5277e3c0a73fcc14,10.5281/zenodo.4037707,(([Enola Holmes])) #FuLLMoViE 【Eng-Sub Free】(2020)~HD,2020,OpenAlex,Q1,yes,exclude_abstract,EC5,high,"abstract signal: non-research movie or spam artifact; evidence: 【 WorldMoviesHD 】 How To Watch Enola Holmes Full Movie Online free? Watch Enola Holmes Full Movie Online (Blu-Ray [Filmywap])?,Enola Holmes 2019 full movie watch onl",,,not_needed
R-818e9ae8643e15a9,10.5281/zenodo.4040247,(([The Tax Collector])) #FuLLMoViE 【Eng-Sub Free】(2020)~HD,2020,OpenAlex,Q1,yes,exclude_abstract,EC5,high,"abstract signal: non-research movie or spam artifact; evidence: 『 Putlockers 』 How To Watch The Tax Collector Full Movie Online free? Watch The Tax Collector Full Movie Online (Blu-Ray [Filmywap])?,The Tax Collector 2019 full",,,not_needed
R-3d4846d75eefe36a,10.1525/gfc.2026.26.1.94,(Don’t) Let Them Eat Cake,2026,OpenAlex,Q1,yes,advance_fulltext,,low,"no high-confidence EC1, EC5, or EC6 exclusion; full-text review required",,,pending
R-68d010020e2006b0,10.1109/dcoss-iot65416.2025.00046,(Poster) ARSecure: A Novel End-to-End Encryption Messaging System using Augmented Reality,2025,Scopus,Q1,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-0f6b39297ccac0b4,10.1167/jov.24.7.1,(The limits of) eye-tracking with iPads,2024,OpenAlex,Q1,yes,advance_fulltext,,medium,retain because of mechanism signal: operation on a named target; full-text review required,"operation on a named target: ularly in the clinic-are limited by a reliance on dedicated hardware. Here we compare eye-tracking implemented on an Apple iPad Pro 11"" (third generation)-using the device's infrared head-tracking and front-facing camera-with a Tobii 4c infrared eye-tracker. We estimated",,pending
R-d266009d6a5a2a38,10.1016/j.jid.2020.03.056,054 Highly Multiplexed Immunophenotyping of Dermatomyositis Skin Lesions,2020,OpenAlex,Q4,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
M-71d452b4aac69bc1,10.5281/zenodo.6525900,"1-km forest tree height, cover, plant area index, and foliage height diversity for the CONUS",2022,OpenAlex,Q3,yes,exclude_abstract,EC1,high,"global production, yield, biomass, or land-use output; evidence: onsistent and spatially explicit periodic monitoring of forest structure is essential for estimating forest-related carbon emissions, analyzing forest degradation, and supporting sustainable forest management policies. To date, few products are available that allow for continental",,"global production, yield, biomass, or land-use output: onsistent and spatially explicit periodic monitoring of forest structure is essential for estimating forest-related carbon emissions, analyzing forest degradation, and supporting sustainable forest management policies. To date, few products are available that allow for continental",not_needed
R-9d03b52c8e6e0334,10.15662/ijeetr.2026.0802388,"1. S. Mustofa et al., “A Comprehensive Review on Plant Leaf Disease Detection using Deep Learning,” arXiv preprint, 2023. 2. H. Rehana et al., “Plant Disease Detection using Region-Based Convolutional Neural Network,” arXiv preprint, 2023. 3. Y. Zhang et",2026,OpenAlex,Q4;Q5,yes,advance_fulltext,,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: atic Field Plant Disease Detection and Classification, making use of the advanced YOLOv11 object detection model. Namely, YOLOv11 is utilized because of its superior balance of detection speed and accuracy in comparison with earlier models. This makes it i",,pending
R-a11206608ef30d55,10.21474/ijar01/22256,10.21474/IJAR01/22256,2025,OpenAlex,Q6,yes,advance_fulltext,,low,"no high-confidence EC1, EC5, or EC6 exclusion; full-text review required",,,pending
R-344d05051084d7fe,10.1016/j.jid.2022.09.112,102 A deep learning system enables a prompt and objective scoring of Nail Psoriasis Severity Index,2022,OpenAlex,Q4,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-1f8a57e82bbbd5ed,10.1109/igarss55030.2025.11243171,10M RESOLUTION OF INDONESIA AND MALAYSIA OIL PALM PLANTATION MAP: SENTINEL-2 BASED APPROACH,2025,Scopus,Q6,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-f664872a280184ce,,"10th International Conference on Biomass and Bioenergy: Sustainable Solution for A Greener Future: Harnessing Biomass and Bioenergy, ICBB 2025",2026,Scopus,Q6,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-0d4696dfdbb4c6cd,,"10th International Conference on Brain Inspired Cognitive Systems, BICS 2019",2020,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-bba9dba748dd8569,,"10th International Conference on Communications, Signal Processing, and Systems, CSPS 2021",2022,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-5eb1b1ba6311925b,,"10th International Conference on Interactive Collaborative Robotics, ICR 2025",2026,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-e9520768fb64b021,,"10th International Conference on Microelectronics, Electromagnetics and Telecommunication, ICMEET 2025",2026,Scopus,Q4,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-72a07a7ecb616fc8,,"10th International Symposium on Artificial Intelligence and Robotics, ISAIR 2025",2026,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-5422dd4125e1e3dd,,"11th Iberian Conference on Pattern Recognition and Image Analysis, IbPRIA 2023",2023,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-e6cd23689215eb56,,"11th IFAC Symposium on Intelligent Autonomous Vehicles, IAV 2022 - Proceedings",2022,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-c0595ba03bb67aff,,"11th IFIP WG 5.14 International Conference on Computer and Computing Technologies in Agriculture, CCTA 2017",2019,Scopus,Q3,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-34feb7b630e085e1,,11th IGRSM International Conference and Exhibition on Geospatial and Remote Sensing 2022,2022,Scopus,Q6,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-f17f8bfc1d37de4c,,"11th International Conference on Advanced Computational Intelligence, ICACI 2019",2019,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-c8ffa825d8f59348,,"11th International Conference on Energy Minimization Methods in Computer Vision and Pattern Recognition, EMMVCPR 2017",2018,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-184ec2027358a03f,,"11th International Conference on Pattern Recognition and Machine Intelligence, PReMI 2025",2026,Scopus,Q3,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-3c0849c0d0616040,10.5281/zenodo.4028592,123MovieS::::'|HD|;::::: Watch A Fantastic Woman (2020) Online Full Or Free xkr,2020,OpenAlex,Q1,yes,exclude_abstract,EC5,high,title signal: non-research movie or spam record; evidence: 123MovieS::::'|HD|;::::: Watch A Fantastic Woman (2020) Online Full Or Free xkr,,,not_needed
R-2866798e9429d8fc,10.5281/zenodo.4028536,123MovieS::::'|HD|;::::: Watch Fifty shades of Grey (2020) Online Full Or Free xkr,2020,OpenAlex,Q1,yes,exclude_abstract,EC5,high,title signal: non-research movie or spam record; evidence: 123MovieS::::'|HD|;::::: Watch Fifty shades of Grey (2020) Online Full Or Free xkr,,,not_needed
R-bcd5b117a5053d8d,10.5281/zenodo.4466424,123MovieZ!![HDQ]-WaTcH Count (2021) Online Full For Free at Putlockers ygz,2021,OpenAlex,Q1,yes,exclude_abstract,EC5,high,title signal: non-research movie or spam record; evidence: 123MovieZ!![HDQ]-WaTcH Count (2021) Online Full For Free at Putlockers ygz,,,not_needed
R-bb4036fedc83b0ec,,"12th Asian Conference on Computer Vision, ACCV 2014",2015,Scopus,Q3,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-ace0de1fda07ee33,,12th IGRSM International Conference and Exhibition on Geospatial and Remote Sensing,2024,Scopus,Q3;Q6,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-6311269d0e1b813a,,"12th International Conference on Information Technology and Quantitative Management, ITQM 2025",2025,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-2b0b7730997a3059,,"12th International Conference on Knowledge Science, Engineering and Management, KSEM 2019",2019,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-790d9aebe4034e37,,"12th International Conference on Social Computing and Social Media, SCSM 2020, held as part of the 22nd International Conference on Human-Computer Interaction, HCII 2020",2020,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-907726e577f9e7b9,,"12th Mexican Conference on Pattern Recognition, MCPR 2020",2020,Scopus,Q3,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-93ec0498fda1f3d4,,"13th International Conference on Augmented Cognition, AC 2019, held as part of the 21st International Conference on Human-Computer Interaction, HCI International 2019",2019,Scopus,Q1,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-703ccbcebc5fa7c9,,"13th International Conference on Cloud Computing, CLOUD 2020, held as part of the Services Conference Federation, SCF 2020",2020,Scopus,Q1,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-20066d2340dab570,,"13th International Conference on Computer Vision Systems, ICVS 2021",2021,Scopus,Q1;Q4;Q7,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-3ec76ca2c41020b4,,"13th International Symposium on Business Modeling and Software Design, BMSD 2023",2023,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-3bc5b2aff8399f47,,"13th International Symposium on Information and Communication Technology, SOICT 2024",2025,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-e0932f0e17d03ceb,,"13th Location-Based Services Conference, LBS 2016",2017,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-1b4fd41f3a830042,,"13th Mexican Conference on Pattern Recognition, MCPR 2021",2021,Scopus,Q3,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-d760bc02a5f51cda,10.1038/srep37399,"14,000-year-old seeds indicate the Levantine origin of the lost progenitor of faba bean",2016,Scopus,Q1,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-e0bd13832a3e99db,,"14th Asian Conference on Computer Vision, ACCV 2018",2019,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-c307a4d50156f005,,"14th European Conference on Computer Vision,  ECCV 2016",2016,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-4c755275ed711cc8,,"14th International Conference on Computing and Pattern Recognition, ICCPR 2025",2026,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-c65874823875c6de,,"14th International Conference on Information Society and Technology, ICIST 2024",2024,Scopus,Q3,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-8c369b7390a4b9f7,,"14th International Symposium on Visual Computing, ISVC 2019",2019,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-766bc868570eb67d,,"14th Pacific Asia Workshop on Intelligence and Security Informatics, PAISI 2019, Workshop on Weakly Supervised Learning: Progress and Future, WeL 2019, Workshop on Learning Data Representation for Clustering, LDRC 2019, 8th Workshop on Biologically Inspired Techniques for Knowledge Discovery and Data Mining, BDM 2019, 1st Pacific Asia Workshop on Deep Learning for Knowledge Transfer, DLKT 2019 held in conjunction with the 23rd Pacific-Asia Conference on Knowledge Discovery and Data Mining, PAKDD 2019",2019,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-1a9142100b2fbe56,10.3920/978-90-8686-916-9_15,15. Strawberry flower and fruit detection using deep learning for developing yield prediction models,2021,OpenAlex,Q1;Q7,yes,advance_fulltext,,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: 15. Strawberry flower and fruit detection using deep learning for developing yield prediction models. Production of strawberries varies every week depending upon the number of flowers, immatu","global production, yield, biomass, or land-use output: 15. Strawberry flower and fruit detection using deep learning for developing yield prediction models. Production of strawberries varies every week depending upon the number of flowers, immature fruit, humidity, temperature and other parameters",pending
R-3705df623358e78d,,"15th EAI International Conference on Communications and Networking, ChinaCom 2020",2021,Scopus,Q1,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-4bc88337d3f79636,,"15th IEEE International Conference on Anti-Counterfeiting, Security, and Identification, ASID 2021",2021,Scopus,Q1,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-7be128c64136d24c,,"15th International Conference on Algorithms and Architectures for Parallel Processing, ICA3PP 2015",2015,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-cca7826c802b552c,,"15th International Conference on e-Infrastructure and e-Services for Developing Countries, AFRICOMM 2023",2025,Scopus,Q1,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-16b711530b1b2f30,,"15th International Conference on Intelligent Computing, ICIC 2019",2019,Scopus,Q7,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-de3bbc8808b4ca7e,,"15th International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery, ICNC-FSKD 2019, co-located with the 5th International Conference on Harmony Search, Soft Computing and Applications, ICHSA 2019",2019,Scopus,Q1,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-a75bcd9735327a59,,"15th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications, VISIGRAPP 2020",2022,Scopus,Q3,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-83863f95ef2a2530,,"16th Mexican Conference on Pattern Recognition, MCPR 2024",2024,Scopus,Q3,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-6a65a6289f6b9940,,"16th Web Information Systems and Applications Conference, WISA 2019",2019,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-f7ea9853f30c8153,,"17th Chinese Conference on Image and Graphics Technologies and Applications, IGTA 2022",2022,Scopus,Q3,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-cae0e5a5b2857b3b,,"17th Colombian Conference on Computing, CCC 2023",2024,Scopus,Q1;Q7,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-b17e315fdf55afdf,,"17th International Conference on Agents and Artificial Intelligence, ICAART 2025",2025,Scopus,Q1,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-327cbf452a9263bc,,"17th International Conference on Combinatorial Optimization and Applications, COCOA 2024",2025,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-6969fc329b7d18f9,,"17th International Conference on Computing and Information Technology, IC2IT 2021",2021,Scopus,Q4,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
R-42bd7b39ba8aea6c,,"17th International Conference on Dependability of Computer Systems, DepCoS-RELCOMEX 2022",2022,Scopus,Q2,no,advance_fulltext,,not_assessed,abstract unavailable; do not exclude automatically,,,pending
