query_id,openalex_id,doi,year,type,title,venue,authors,cited_by_count,is_oa,abstract
Q5,W4364379307,10.3390/rs15082014,2023,review,Remote-Sensing Data and Deep-Learning Techniques in Crop Mapping and Yield Prediction: A Systematic Review,Remote Sensing,Abhasha Joshi; Biswajeet Pradhan; Shilpa Gite; Subrata Chakraborty,207,True,"Reliable and timely crop-yield prediction and crop mapping are crucial for food security and decision making in the food industry and in agro-environmental management. The global coverage, rich spectral and spatial information and repetitive nature of remote sensing (RS) data have made them effective tools for mapping crop extent and predicting yield before harvesting. Advanced machine-learning methods, particularly deep learning (DL), can accurately represent the complex features essential for crop mapping and yield predictions by accounting for the nonlinear relationships between variables. The DL algorithm has attained remarkable success in different fields of RS and its use in crop monitoring is also increasing. Although a few reviews cover the use of DL techniques in broader RS and agricultural applications, only a small number of references are made to RS-based crop-mapping and yield-prediction studies. A few recently conducted reviews attempted to provide overviews of the applications of DL in crop-yield prediction. However, they did not cover crop mapping and did not consider some of the critical attributes that reveal the essential issues in the field. This study is one of the first in the literature to provide a thorough systematic review of the important scientific works related to state-of-the-art DL techniques and RS in crop mapping and yield estimation. This review systematically identified 90 papers from databases of peer-reviewed scientific publications and comprehensively reviewed the aspects related to the employed platforms, sensors, input features, architectures, frameworks, training data, spatial distributions of study sites, output scales, evaluation metrics and performances. The review suggests that multiple DL-based solutions using different RS data and DL architectures have been developed in recent years, thereby providing reliable solutions for crop mapping and yield prediction. However, challenges related to scarce training data, the development of effective, efficient and generalisable models and the transparency of predictions should be addressed to implement these solutions at scale for diverse locations and crops."
Q5,W3156943756,10.1007/s11119-021-09806-x,2021,article,Automation in Agriculture by Machine and Deep Learning Techniques: A Review of Recent Developments,Precision Agriculture,Muhammad Hammad Saleem; Johan Potgieter; Khalid Mahmood Arif,413,False,
Q5,W2915519176,10.1007/s11831-019-09324-0,2019,article,Applications of Computer Vision in Plant Pathology: A Survey,Archives of Computational Methods in Engineering,Siddharth Singh Chouhan; Uday Pratap Singh; Sanjeev Jain,179,False,
Q5,W4282974753,10.1016/j.atech.2022.100083,2022,article,A survey on using deep learning techniques for plant disease diagnosis and recommendations for development of appropriate tools,Smart Agricultural Technology,Aanis Ahmad; Dharmendra Saraswat; Aly El Gamal,357,True,"Several factors associated with disease diagnosis in plants using deep learning techniques must be considered to develop a robust system for accurate disease management. A considerable number of studies have investigated the potential of deep learning techniques for precision agriculture in the last decade. However, despite the range of applications, several gaps within plant disease research are yet to be addressed to support disease management on farms. Thus, there is a need to establish a knowledge base of existing applications and identify the challenges and opportunities to help advance the development of tools that address farmers' needs. This study presents a comprehensive overview of 70 studies on deep learning applications and the trends associated with their use for disease diagnosis and management in agriculture. The studies were sourced from four indexing services, namely Scopus, IEEE Xplore, Science Direct, and Google Scholar, and 11 main keywords used were Plant Diseases, Precision Agriculture, Unmanned Aerial System (UAS), Imagery Datasets, Image Processing, Machine Learning, Deep Learning, Transfer Learning, Image Classification, Object Detection, and Semantic Segmentation. The review is focused on providing a detailed assessment and considerations for developing deep learning-based tools for plant disease diagnosis in the form of seven key questions pertaining to (i) dataset requirements, availability, and usability, (ii) imaging sensors and data collection platforms, (iii) deep learning techniques, (iv) generalization of deep learning models, (v) disease severity estimation, (vi) deep learning and human accuracy comparison, and (vii) open research topics. These questions can help address existing research gaps by guiding further development and application of tools to support plant disease diagnosis and provide disease management support to farmers."
Q5,W4353029161,10.1007/s11119-023-10009-9,2023,article,Optimization strategies of fruit detection to overcome the challenge of unstructured background in field orchard environment: a review,Precision Agriculture,Yunchao Tang; Jiajun Qiu; Yunqi Zhang; Dongxiao Wu,162,False,
Q5,W3048025158,10.1016/j.compag.2020.105687,2020,article,Application of consumer RGB-D cameras for fruit detection and localization in field: A critical review,Computers and Electronics in Agriculture,Longsheng Fu; Fangfang Gao; Jingzhu Wu; Rui Li,322,True,
Q5,W4309078364,10.1016/j.neucom.2022.11.020,2022,article,AI meets UAVs: A survey on AI empowered UAV perception systems for precision agriculture,Neurocomputing,Jinya Su; Xiaoyong Zhu; Shihua Li; Wen‐Hua Chen,222,True,
Q5,W4210328114,10.3390/rs14030559,2022,article,A Review of Deep Learning in Multiscale Agricultural Sensing,Remote Sensing,Dashuai Wang; Wujing Cao; Fan Zhang; Zhuolin Li,248,True,"Population growth, climate change, and the worldwide COVID-19 pandemic are imposing increasing pressure on global agricultural production. The challenge of increasing crop yield while ensuring sustainable development of environmentally friendly agriculture is a common issue throughout the world. Autonomous systems, sensing technologies, and artificial intelligence offer great opportunities to tackle this issue. In precision agriculture (PA), non-destructive and non-invasive remote and proximal sensing methods have been widely used to observe crops in visible and invisible spectra. Nowadays, the integration of high-performance imagery sensors (e.g., RGB, multispectral, hyperspectral, thermal, and SAR) and unmanned mobile platforms (e.g., satellites, UAVs, and terrestrial agricultural robots) are yielding a huge number of high-resolution farmland images, in which rich crop information is compressed. However, this has been accompanied by challenges, i.e., ways to swiftly and efficiently making full use of these images, and then, to perform fine crop management based on information-supported decision making. In the past few years, deep learning (DL) has shown great potential to reshape many industries because of its powerful capabilities of feature learning from massive datasets, and the agriculture industry is no exception. More and more agricultural scientists are paying attention to applications of deep learning in image-based farmland observations, such as land mapping, crop classification, biotic/abiotic stress monitoring, and yield prediction. To provide an update on these studies, we conducted a comprehensive investigation with a special emphasis on deep learning in multiscale agricultural remote and proximal sensing. Specifically, the applications of convolutional neural network-based supervised learning (CNN-SL), transfer learning (TL), and few-shot learning (FSL) in crop sensing at land, field, canopy, and leaf scales are the focus of this review. We hope that this work can act as a reference for the global agricultural community regarding DL in PA and can inspire deeper and broader research to promote the evolution of modern agriculture."
Q5,W4390534238,10.1109/access.2024.3349418,2024,article,A Comprehensive Review on Deep Learning Assisted Computer Vision Techniques for Smart Greenhouse Agriculture,IEEE Access,Jalal Uddin Md Akbar; Syafiq Fauzi Kamarulzaman; Abu Jafar Md Muzahid; Md. Arafatur Rahman,100,True,"With the escalating global challenges of food security and resource sustainability, innovative solutions like deep learning and computer vision are transforming agricultural practices by enabling data-driven decision-making. This paper provides a focused review of recent advancements in deep learning-enabled computer vision techniques tailored specifically for greenhouse environments. First, deep learning and computer vision fundamentals are briefly introduced. Over 100 studies from 2020 to date are then comprehensively reviewed in which these technologies were applied within greenhouses for growth monitoring, disease detection, yield estimation, and other tasks. The techniques, datasets, models, and overall performance results reported in the literature are analyzed. Tables and figures showcase real-world implementations and results synthesized from current research. Key challenges are also outlined related to aspects like model adaptability, lack of sufficient labeled greenhouse data, computational constraints, the need for multi-modal sensor fusion, and other areas needing further investigation. Future trends and prospects are discussed to provide guidance for researchers exploring computer vision in the niche greenhouse domain. By condensing prior work and elucidating the state-of-the-art, this timely review aims to promote continued progress in smart greenhouse agriculture. The focused analysis, specifically on greenhouse environments, fills a gap compared to previous agricultural surveys. Overall, this paper highlights the immense potential of computer vision and deep learning in driving the emergence of data-driven, smart greenhouse farming worldwide."
Q5,W4388588250,10.1016/j.compag.2023.108425,2023,article,A survey of deep learning-based object detection methods in crop counting,Computers and Electronics in Agriculture,Yuning Huang; Yurong Qian; Hongyang Wei; Yiguo Lu,79,False,
Q5,W3157895500,10.1007/s11119-021-09808-9,2021,article,Deep learning-based identification system of weeds and crops in strawberry and pea fields for a precision agriculture sprayer,Precision Agriculture,Shahbaz Khan; Muhammad Tufail; Muhammad Tahir Khan; Zubair Ahmad Khan,162,False,
Q5,W4322761651,10.1016/j.compag.2023.107737,2023,article,LiDAR applications in precision agriculture for cultivating crops: A review of recent advances,Computers and Electronics in Agriculture,Gilberto Rivera; Raúl Porras; Rogelio Florencia; J. Patricia Sánchez-Solís,197,False,
Q5,W4364374317,10.3390/s23083868,2023,article,Fruit Sizing in Orchard: A Review from Caliper to Machine Vision with Deep Learning,Sensors,Chiranjivi Neupane; Maisa Pereira; Anand Koirala; Kerry B. Walsh,50,True,"Forward estimates of harvest load require information on fruit size as well as number. The task of sizing fruit and vegetables has been automated in the packhouse, progressing from mechanical methods to machine vision over the last three decades. This shift is now occurring for size assessment of fruit on trees, i.e., in the orchard. This review focuses on: (i) allometric relationships between fruit weight and lineal dimensions; (ii) measurement of fruit lineal dimensions with traditional tools; (iii) measurement of fruit lineal dimensions with machine vision, with attention to the issues of depth measurement and recognition of occluded fruit; (iv) sampling strategies; and (v) forward prediction of fruit size (at harvest). Commercially available capability for in-orchard fruit sizing is summarized, and further developments of in-orchard fruit sizing by machine vision are anticipated."
Q5,W3011886372,10.3390/s20051520,2020,article,Applications of Deep Learning for Dense Scenes Analysis in Agriculture: A Review,Sensors,Qian Zhang; Yeqi Liu; Chuanyang Gong; Yingyi Chen,202,True,"Deep Learning (DL) is the state-of-the-art machine learning technology, which shows superior performance in computer vision, bioinformatics, natural language processing, and other areas. Especially as a modern image processing technology, DL has been successfully applied in various tasks, such as object detection, semantic segmentation, and scene analysis. However, with the increase of dense scenes in reality, due to severe occlusions, and small size of objects, the analysis of dense scenes becomes particularly challenging. To overcome these problems, DL recently has been increasingly applied to dense scenes and has begun to be used in dense agricultural scenes. The purpose of this review is to explore the applications of DL for dense scenes analysis in agriculture. In order to better elaborate the topic, we first describe the types of dense scenes in agriculture, as well as the challenges. Next, we introduce various popular deep neural networks used in these dense scenes. Then, the applications of these structures in various agricultural tasks are comprehensively introduced in this review, including recognition and classification, detection, counting and yield estimation. Finally, the surveyed DL applications, limitations and the future work for analysis of dense images in agriculture are summarized."
Q5,W3209915885,10.3390/rs13214387,2021,article,Boost Precision Agriculture with Unmanned Aerial Vehicle Remote Sensing and Edge Intelligence: A Survey,Remote Sensing,Jia Liu; Jianjian Xiang; Yongjun Jin; Renhua Liu,186,True,"In recent years unmanned aerial vehicles (UAVs) have emerged as a popular and cost-effective technology to capture high spatial and temporal resolution remote sensing (RS) images for a wide range of precision agriculture applications, which can help reduce costs and environmental impacts by providing detailed agricultural information to optimize field practices. Furthermore, deep learning (DL) has been successfully applied in agricultural applications such as weed detection, crop pest and disease detection, etc. as an intelligent tool. However, most DL-based methods place high computation, memory and network demands on resources. Cloud computing can increase processing efficiency with high scalability and low cost, but results in high latency and great pressure on the network bandwidth. The emerging of edge intelligence, although still in the early stages, provides a promising solution for artificial intelligence (AI) applications on intelligent edge devices at the edge of the network close to data sources. These devices are with built-in processors enabling onboard analytics or AI (e.g., UAVs and Internet of Things gateways). Therefore, in this paper, a comprehensive survey on the latest developments of precision agriculture with UAV RS and edge intelligence is conducted for the first time. The major insights observed are as follows: (a) in terms of UAV systems, small or light, fixed-wing or industrial rotor-wing UAVs are widely used in precision agriculture; (b) sensors on UAVs can provide multi-source datasets, and there are only a few public UAV dataset for intelligent precision agriculture, mainly from RGB sensors and a few from multispectral and hyperspectral sensors; (c) DL-based UAV RS methods can be categorized into classification, object detection and segmentation tasks, and convolutional neural network and recurrent neural network are the mostly common used network architectures; (d) cloud computing is a common solution to UAV RS data processing, while edge computing brings the computing close to data sources; (e) edge intelligence is the convergence of artificial intelligence and edge computing, in which model compression especially parameter pruning and quantization is the most important and widely used technique at present, and typical edge resources include central processing units, graphics processing units and field programmable gate arrays."
Q5,W4220727424,10.1007/s00521-022-07104-9,2022,article,Deep learning techniques to classify agricultural crops through UAV imagery: a review,Neural Computing and Applications,Abdelmalek Bouguettaya; Hafed Zarzour; Ahmed Kechida; Amine Mohammed Taberkit,304,True,
Q5,W3020248043,10.34048/acc.2020.1.f1,2020,article,Computer Vision with Deep Learning for Plant Phenotyping in Agriculture: A Survey,,Vineeth N Balasubramanian; Wei Guo; Akshay L. Chandra; Sai Vikas Desai,51,True,"In light of growing challenges in agriculture with ever growing food demand across the world, efficient crop management techniques are necessary to increase crop yield. Precision agriculture techniques allow the stakeholders to make effective and customized crop management decisions based on data gathered from monitoring crop environments. Plant phenotyping techniques play a major role in accurate crop monitoring. Advancements in deep learning have made previously difficult phenotyping tasks possible. This survey aims to introduce the reader to the state of the art research in deep plant phenotyping."
Q5,W4200335308,10.1016/j.ijcce.2021.11.005,2021,article,A review on object detection in unmanned aerial vehicle surveillance,International Journal of Cognitive Computing in Engineering,Anitha Ramachandran; Arun Kumar Sangaiah,154,True,"Computer vision in drones has gained a lot of attention from artificial intelligence researchers. Providing intelligence to drones will resolve many real-time problems. Computer vision tasks such as object detection, object tracking, and object counting are significant tasks for monitoring specified environments. However, factors such as altitude, camera angle, occlusion, and motion blur make it a more challenging task. In this paper, a detailed literature review has been conducted focusing on object detection and tracking using UAVs concerning different applications. This study summarizes the findings of existing research papers and identifies the research gaps. Object detection methods applied in UAV images are classified and elaborated. UAV datasets specific to object detection tasks are listed. Existing research works in different applications are summarized. Finally, a secure onboard processing system on a robust object detection framework in precision agriculture is proposed to mitigate identified research gaps."
Q5,W3211879038,10.1007/s11042-021-11729-8,2021,article,Hyperspectral imagery applications for precision agriculture - a systemic survey,Multimedia Tools and Applications,Prabira Kumar Sethy; Chanki Pandey; Yogesh Kumar Sahu; Santi Kumari Behera,102,False,
Q5,W4367677115,10.1016/j.compag.2023.107875,2023,article,Advancing precision agriculture: The potential of deep learning for cereal plant head detection,Computers and Electronics in Agriculture,Alireza Sanaeifar; Mahamed Lamine Guindo; Adel Bakhshipour; Hassan Fazayeli,73,False,
